Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-04-29 02:32:33,32.3182,-86.9023,6820,242,,,1.0,139.0932628485362,,911.0,,84000001.0,USA,2588.868256041736,13.496296296296295,2020-04-28,126937.0,3.548387096774193
Alaska,US,2020-04-29 02:32:33,61.3707,-152.4044,351,9,228.0,114.0,2.0,47.98064370612881,,,,84000002.0,USA,2858.892277527859,,2020-04-28,17089.0,2.5641025641025643
American Samoa,US,2020-04-29 02:32:33,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,5.3917075537822825,,2020-04-28,3.0,
Arizona,US,2020-04-29 02:32:33,33.7298,-111.4312,6955,275,1450.0,5230.0,4.0,95.55255411084124,,1095.0,,84000004.0,USA,926.5094384078952,15.744069015097052,2020-04-28,85487.0,3.9539899352983454
Arkansas,US,2020-04-29 02:32:33,34.9697,-92.3731,3127,57,1146.0,1924.0,5.0,103.61839271205154,,,,84000005.0,USA,1570.8990288629666,,2020-04-28,40671.0,1.8228333866325552
California,US,2020-04-29 02:32:33,36.1162,-119.6816,46825,1829,,,6.0,118.5051015732524,,,,84000006.0,USA,1473.1658497544672,,2020-04-28,577608.0,3.89543823680164
Colorado,US,2020-04-29 02:32:33,39.0598,-105.3111,14316,736,2275.0,11305.0,8.0,248.59621972599544,,2485.0,,84000008.0,USA,1170.6932979789522,17.35820061469684,2020-04-28,66341.0,5.1411008661637325
Connecticut,US,2020-04-29 02:32:33,41.5978,-72.7554,26312,2087,,,9.0,738.0051030954871,,,,84000009.0,USA,2601.3333568938488,,2020-04-28,92745.0,7.931742170872606
Delaware,US,2020-04-29 02:32:33,39.3185,-75.5071,4575,194,1096.0,3285.0,10.0,469.8263644989957,31688.0,,,84000010.0,USA,3.254176576665393e-07,,2020-04-28,21180.0,4.240437158469946
Diamond Princess,US,2020-04-29 02:32:33,,,49,0,0.0,49.0,88888.0,,,,,84088888.0,USA,,,2020-04-28,,0.0
District of Columbia,US,2020-04-29 02:32:33,38.8974,-77.0268,3994,190,660.0,3144.0,11.0,565.9235790628113,,,,84000011.0,USA,2675.8805184279395,,2020-04-28,18885.0,4.757135703555333
Florida,US,2020-04-29 02:32:33,27.7663,-81.6868,32848,1171,,,12.0,152.93976269473828,,5266.0,,84000012.0,USA,2704.973061174928,16.03141743789576,2020-04-28,580967.0,3.564905017048222
Georgia,US,2020-04-29 02:32:33,33.0406,-83.6431,24922,1036,,,13.0,234.72739100627336,,4814.0,,84000013.0,USA,1380.9505164658278,19.316266752267072,2020-04-28,140020.0,4.156969745606292
Grand Princess,US,2020-04-29 02:32:33,,,103,3,0.0,100.0,99999.0,,,,,84099999.0,USA,,,2020-04-28,,2.912621359223301
Guam,US,2020-04-29 02:32:33,13.4443,144.7937,141,5,129.0,7.0,66.0,85.85572584622692,,,,316.0,GUM,1024.788557441134,,2020-04-28,1683.0,3.5460992907801416
Hawaii,US,2020-04-29 02:32:33,21.0943,-157.4983,609,16,493.0,100.0,15.0,43.01236269945306,,68.0,,84000015.0,USA,2061.257845465346,11.16584564860427,2020-04-28,29183.0,2.6272577996715927
Idaho,US,2020-04-29 02:32:33,44.2405,-114.4788,1952,60,1039.0,853.0,16.0,109.22937889780172,,172.0,,84000016.0,USA,1245.081487267595,8.811475409836065,2020-04-28,20052.0,3.0737704918032787
Illinois,US,2020-04-29 02:32:33,40.3495,-88.9861,48102,2125,,,17.0,379.5981650940303,,,,84000017.0,USA,2063.70280375536,,2020-04-28,242189.0,4.4176957299072805
Indiana,US,2020-04-29 02:32:33,39.8494,-86.2583,16588,1072,,,18.0,246.3972131625545,115095.0,,,84000018.0,USA,1.7096146159238133e-07,,2020-04-28,87181.0,6.462503014227152
Iowa,US,2020-04-29 02:32:33,42.0115,-93.2105,6376,136,2164.0,4076.0,19.0,202.087433876269,,,,84000019.0,USA,1519.5483061289046,,2020-04-28,39823.0,2.132998745294856
Kansas,US,2020-04-29 02:32:33,38.5266,-96.7265,3652,127,,,20.0,125.35552295427132,,504.0,,84000020.0,USA,1151.9433353783163,13.80065717415115,2020-04-28,28090.0,3.4775465498357065
Kentucky,US,2020-04-29 02:32:33,37.6681,-84.6701,4375,225,1521.0,2629.0,21.0,97.92569868027496,,1281.0,,84000021.0,USA,1425.494617333026,29.28,2020-04-28,48799.0,5.142857142857143
Louisiana,US,2020-04-29 02:32:33,31.1695,-91.8678,27286,1801,17303.0,8182.0,22.0,586.947926709594,,,,84000022.0,USA,3286.9100896054306,,2020-04-28,151108.0,6.600454445503188
Maine,US,2020-04-29 02:32:33,44.6939,-69.3819,1040,51,585.0,404.0,23.0,77.36874838195166,,163.0,,84000023.0,USA,1518.2205201676993,15.673076923076923,2020-04-28,17824.0,4.903846153846154
Maryland,US,2020-04-29 02:32:33,39.0639,-76.8021,20113,1016,1295.0,17802.0,24.0,332.68383374574904,,4268.0,,84000024.0,USA,1813.544079208054,21.22010639884652,2020-04-28,107785.0,5.051459255208075
Massachusetts,US,2020-04-29 02:32:33,42.2302,-71.5301,58302,3153,,,25.0,845.8755839496914,,5515.0,,84000025.0,USA,3707.873746389012,9.45936674556619,2020-04-28,254500.0,5.40804775136359
Michigan,US,2020-04-29 02:32:33,43.3266,-84.5361,39262,3568,8342.0,27352.0,26.0,393.1366995642373,199206.0,,,84000026.0,USA,1.9946816100400763e-07,,2020-04-28,164805.0,9.08766746472416
Minnesota,US,2020-04-29 02:32:33,45.6945,-93.9002,4181,301,1912.0,1968.0,27.0,74.13604291911246,,912.0,,84000027.0,USA,1290.401229488809,21.81296340588376,2020-04-28,63829.0,7.199234632862951
Mississippi,US,2020-04-29 02:32:33,32.7416,-89.6787,6342,239,,,28.0,213.09416968034867,,1088.0,,84000028.0,USA,2224.781241818372,17.155471460107222,2020-04-28,64412.0,3.7685272784610535
Missouri,US,2020-04-29 02:32:33,38.4561,-92.2884,7516,330,,,29.0,122.46172175054436,,,,84000029.0,USA,1254.433858706337,,2020-04-28,73503.0,4.3906333155934005
Montana,US,2020-04-29 02:32:33,46.9219,-110.4544,451,15,356.0,80.0,30.0,42.19772487831898,,61.0,,84000030.0,USA,1523.2330277475296,13.52549889135255,2020-04-28,13191.0,3.3259423503325944
Nebraska,US,2020-04-29 02:32:33,41.1254,-98.2681,3517,56,,,31.0,181.81273030301776,,,,84000031.0,USA,1547.592822788329,,2020-04-28,23605.0,1.592266135911288
Nevada,US,2020-04-29 02:32:33,38.3135,-117.0554,4821,219,,,32.0,156.5180464885545,,,,84000032.0,USA,1329.898229752607,,2020-04-28,40119.0,4.542626011200996
New Hampshire,US,2020-04-29 02:32:33,43.4525,-71.5639,2010,60,798.0,1152.0,33.0,147.82553057230544,,246.0,,84000033.0,USA,1581.071271762897,12.238805970149254,2020-04-28,21498.0,2.985074626865672
New Jersey,US,2020-04-29 02:32:33,40.2989,-74.521,113856,6442,15642.0,91772.0,34.0,1281.8460312152747,,,,84000034.0,USA,2638.527210068688,,2020-04-28,234359.0,5.658024170882518
New Mexico,US,2020-04-29 02:32:33,34.8405,-106.2485,2974,105,666.0,2203.0,35.0,141.83321577486768,,481.0,,84000035.0,USA,3526.347004826891,16.17350369872226,2020-04-28,58803.0,3.5305985205110963
New York,US,2020-04-29 02:32:33,42.1657,-74.9481,295106,22823,51630.0,220653.0,36.0,1516.9767632774276,,64275.0,,84000036.0,USA,5011.522134627046,21.780309448130502,2020-04-28,844994.0,7.73383123352287
North Carolina,US,2020-04-29 02:32:33,35.6301,-79.8064,9755,363,,,37.0,93.0103153254684,,,,84000037.0,USA,1136.8564334597886,,2020-04-28,112752.0,3.72116863147104
North Dakota,US,2020-04-29 02:32:33,47.5289,-99.784,1033,19,409.0,563.0,38.0,130.0419126002871,,79.0,,84000038.0,USA,3911.988100617066,7.971745711402623,2020-04-28,23723.0,1.917255297679112
Northern Mariana Islands,US,2020-04-29 02:32:33,15.0979,145.6739,14,2,12.0,0.0,69.0,25.388074858552155,,,,580.0,MNP,117.87320470042071,,2020-04-28,65.0,14.285714285714286
Ohio,US,2020-04-29 02:32:33,40.3888,-82.7649,16769,1012,,,39.0,143.45843563661873,137884.0,3340.0,,84000039.0,USA,1.1795946651153639e-07,19.91770528952233,2020-04-28,122706.0,6.034945435028923
Oklahoma,US,2020-04-29 02:32:33,35.5653,-96.9289,3410,207,2260.0,943.0,40.0,86.17702783265281,,656.0,,84000040.0,USA,1632.17533520303,19.237536656891496,2020-04-28,59699.0,6.070381231671554
Oregon,US,2020-04-29 02:32:33,44.572,-122.0709,2385,99,,,41.0,56.54691129390002,,554.0,,84000041.0,USA,1277.690404519607,23.22851153039832,2020-04-28,51198.0,4.150943396226415
Pennsylvania,US,2020-04-29 02:32:33,40.5908,-77.2098,45199,2116,,,42.0,353.06232492466603,,,,84000042.0,USA,1661.0768606340084,,2020-04-28,222866.0,4.681519502643864
