Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-05-03 02:32:33,32.3182,-86.9023,7700,288,0.0,7412.0,1.0,157.0407806354441,,1023.0,,84000001.0,USA,2929.9934634324422,13.44107213243989,2020-05-02,143663.0,3.74025974025974
Alaska,US,2020-05-03 02:32:33,61.3707,-152.4044,365,9,261.0,95.0,2.0,49.89440157474933,,,,84000002.0,USA,3579.930706701308,,2020-05-02,21399.0,2.4657534246575343
American Samoa,US,2020-05-03 02:32:33,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,,,,16.0,ASM,102.44244352186335,,2020-05-02,57.0,
Arizona,US,2020-05-03 02:32:33,33.7298,-111.4312,8364,330,1565.0,6469.0,4.0,114.91036126284344,,1339.0,,84000004.0,USA,1071.5762132254902,16.00908656145385,2020-05-02,102618.0,3.945480631276901
Arkansas,US,2020-05-03 02:32:33,34.9697,-92.3731,3372,72,1987.0,1313.0,5.0,111.7368788695356,,414.0,,84000005.0,USA,1992.331482058704,12.277580071174375,2020-05-02,51582.0,2.1352313167259784
California,US,2020-05-03 02:32:33,36.1162,-119.6816,53882,2159,0.0,51729.0,6.0,136.36792847620848,,,,84000006.0,USA,1751.663282206821,,2020-05-02,686803.0,3.995768531234921
Colorado,US,2020-05-03 02:32:33,39.0598,-105.3111,16225,832,2553.0,12840.0,8.0,281.7458553404775,,2747.0,,84000008.0,USA,1357.8884639390783,16.9306625577812,2020-05-02,76949.0,5.12788906009245
Connecticut,US,2020-05-03 02:32:33,41.5978,-72.7554,29287,2436,4346.0,22505.0,9.0,821.4485958633906,,7758.0,,84000009.0,USA,2812.031682161913,26.489568750640217,2020-05-02,100257.0,8.317683613890122
Delaware,US,2020-05-03 02:32:33,39.3185,-75.5071,5038,236,1546.0,3256.0,10.0,517.3738195291672,35811.0,,,84000010.0,USA,3.6775851232947613e-07,,2020-05-02,23112.0,4.684398570861453
Diamond Princess,US,2020-05-03 02:32:33,,,49,0,0.0,49.0,88888.0,,,,,84088888.0,USA,,,2020-05-02,,0.0
District of Columbia,US,2020-05-03 02:32:33,38.8974,-77.0268,4797,240,666.0,3891.0,11.0,679.7034073020295,,,,84000011.0,USA,3117.822341937431,,2020-05-02,22004.0,5.003126954346467
Florida,US,2020-05-03 02:32:33,27.7663,-81.6868,35463,1364,0.0,34099.0,12.0,165.11516087565462,,5945.0,,84000012.0,USA,3090.102090364548,16.763951160364325,2020-05-02,663684.0,3.846262301553732
Georgia,US,2020-05-03 02:32:33,33.0406,-83.6431,28331,1177,0.0,27154.0,13.0,266.83499376449447,,5387.0,,84000013.0,USA,1723.9690778333577,19.014507077053405,2020-05-02,174800.0,4.154459779040627
Grand Princess,US,2020-05-03 02:32:33,,,103,3,0.0,100.0,99999.0,,,,,84099999.0,USA,,,2020-05-02,,2.912621359223301
Guam,US,2020-05-03 02:32:33,13.4443,144.7937,145,5,131.0,9.0,66.0,88.29134927448867,,,,316.0,GUM,1941.19187232462,,2020-05-02,3188.0,3.4482758620689653
Hawaii,US,2020-05-03 02:32:33,21.0943,-157.4983,620,16,532.0,72.0,15.0,43.78926908647109,,72.0,,84000015.0,USA,2259.169111716036,11.612903225806452,2020-05-02,31985.0,2.5806451612903225
Idaho,US,2020-05-03 02:32:33,44.2405,-114.4788,2061,64,1215.0,782.0,16.0,115.32876532191052,,178.0,,84000016.0,USA,1831.1117623938449,8.63658418243571,2020-05-02,29490.0,3.1052886948083454
Illinois,US,2020-05-03 02:32:33,40.3495,-88.9861,58505,2559,0.0,55946.0,17.0,461.6937060585057,,,,84000017.0,USA,2555.426613244273,,2020-05-02,299896.0,4.373985129476113
Indiana,US,2020-05-03 02:32:33,39.8494,-86.2583,19295,1242,0.0,18053.0,18.0,286.60683795342965,141843.0,,,84000018.0,USA,2.1069278940569225e-07,,2020-05-02,104141.0,6.436900751490024
Iowa,US,2020-05-03 02:32:33,42.0115,-93.2105,8643,175,3156.0,5312.0,19.0,273.94003936521216,,,,84000019.0,USA,1768.5645089714135,,2020-05-02,46349.0,2.0247599213236143
Kansas,US,2020-05-03 02:32:33,38.5266,-96.7265,4885,142,286.0,4457.0,20.0,167.67845827809842,,541.0,,84000020.0,USA,1432.937131533967,11.074718526100307,2020-05-02,34942.0,2.906857727737973
Kentucky,US,2020-05-03 02:32:33,37.6681,-84.6701,4879,248,1752.0,2879.0,21.0,109.20673916824262,,1411.0,,84000021.0,USA,1684.0168690881292,28.9198606271777,2020-05-02,57649.0,5.08300881328141
Louisiana,US,2020-05-03 02:32:33,31.1695,-91.8678,29140,1993,17303.0,9844.0,22.0,626.829237862551,,,,84000022.0,USA,3760.017366843685,,2020-05-02,172858.0,6.8393960192175705
Maine,US,2020-05-03 02:32:33,44.6939,-69.3819,1153,56,689.0,408.0,23.0,85.77516046575987,,181.0,,84000023.0,USA,1763.023357631903,15.69817866435386,2020-05-02,20698.0,4.856895056374674
Maryland,US,2020-05-03 02:32:33,39.0639,-76.8021,24473,1251,1590.0,21632.0,24.0,404.8014449987429,,4910.0,,84000024.0,USA,2111.979217055744,20.06292649041801,2020-05-02,125522.0,5.111755812528092
Massachusetts,US,2020-05-03 02:32:33,42.2302,-71.5301,66263,3846,0.0,62417.0,25.0,961.3778913117628,,6378.0,,84000025.0,USA,4356.117889696802,9.625281076920755,2020-05-02,298994.0,5.804144092479966
Michigan,US,2020-05-03 02:32:33,43.3266,-84.5361,43207,4021,15659.0,23527.0,26.0,432.6386169342367,243366.0,,,84000026.0,USA,2.436862768736952e-07,,2020-05-02,201709.0,9.306362394982294
Minnesota,US,2020-05-03 02:32:33,45.6945,-93.9002,6232,394,2397.0,3441.0,27.0,110.50366406886124,,1159.0,,84000027.0,USA,1597.247801755038,18.59756097560976,2020-05-02,79007.0,6.322207958921695
Mississippi,US,2020-05-03 02:32:33,32.7416,-89.6787,7441,291,3413.0,3737.0,28.0,250.0210842938307,,1265.0,,84000028.0,USA,2572.355818549699,17.000403171616718,2020-05-02,74475.0,3.9107646821663753
Missouri,US,2020-05-03 02:32:33,38.4561,-92.2884,8527,377,0.0,8150.0,29.0,138.93442008606863,,,,84000029.0,USA,1412.1447451777094,,2020-05-02,82744.0,4.421250146593175
Montana,US,2020-05-03 02:32:33,46.9219,-110.4544,455,16,404.0,35.0,30.0,42.5719840790136,,61.0,,84000030.0,USA,1689.979179826025,13.406593406593409,2020-05-02,14635.0,3.5164835164835164
Nebraska,US,2020-05-03 02:32:33,41.1254,-98.2681,5317,73,0.0,5244.0,31.0,274.8644546548608,,,,84000031.0,USA,1924.1158298323185,,2020-05-02,29348.0,1.37295467368817
Nevada,US,2020-05-03 02:32:33,38.3135,-117.0554,5389,255,182.0,4952.0,32.0,174.95867092445968,,,,84000032.0,USA,1471.377470127096,,2020-05-02,44387.0,4.73186119873817
New Hampshire,US,2020-05-03 02:32:33,43.4525,-71.5639,2429,84,980.0,1365.0,33.0,178.64090236822383,,270.0,,84000033.0,USA,1916.8043797542275,11.11568546727048,2020-05-02,26063.0,3.4582132564841497
New Jersey,US,2020-05-03 02:32:33,40.2989,-74.521,123735,7742,15642.0,100351.0,34.0,1393.0686013246734,,,,84000034.0,USA,2953.23563220332,,2020-05-02,262312.0,6.256920030710793
New Mexico,US,2020-05-03 02:32:33,34.8405,-106.2485,3732,138,785.0,2809.0,35.0,177.98304010484404,,587.0,,84000035.0,USA,4264.863124148068,15.728831725616292,2020-05-02,71118.0,3.697749196141479
New York,US,2020-05-03 02:32:33,42.1657,-74.9481,312977,24090,57540.0,231347.0,36.0,1608.841692274232,,67890.0,,84000036.0,USA,5688.09428845518,21.69168980468213,2020-05-02,959071.0,7.697051221016241
North Carolina,US,2020-05-03 02:32:33,35.6301,-79.8064,11588,431,0.0,11157.0,37.0,110.48729205448774,,,,84000037.0,USA,1406.2992324464667,,2020-05-02,139475.0,3.719364860200207
North Dakota,US,2020-05-03 02:32:33,47.5289,-99.784,1190,24,510.0,619.0,38.0,151.30002545724625,,90.0,,84000038.0,USA,5202.187270166783,7.805724197745013,2020-05-02,31547.0,2.081526452732004
Northern Mariana Islands,US,2020-05-03 02:32:33,15.0979,145.6739,14,2,12.0,0.0,69.0,25.388074858552155,,,,580.0,MNP,1719.1353547076744,,2020-05-02,948.0,14.285714285714286
Ohio,US,2020-05-03 02:32:33,40.3888,-82.7649,19335,1174,0.0,18161.0,39.0,165.41051064667084,164698.0,3712.0,,84000039.0,USA,1.4089878604854096e-07,19.198344970261186,2020-05-02,145819.0,6.071890354279804
Oklahoma,US,2020-05-03 02:32:33,35.5653,-96.9289,3851,238,2554.0,1059.0,40.0,97.32191618285805,,743.0,,84000040.0,USA,1740.332685008943,19.293689950662166,2020-05-02,63655.0,6.18021293170605
Oregon,US,2020-05-03 02:32:33,44.572,-122.0709,2635,109,0.0,2526.0,41.0,62.47426048613273,,595.0,,84000041.0,USA,1500.7459308213424,22.580645161290324,2020-05-02,60136.0,4.136622390891841
Pennsylvania,US,2020-05-03 02:32:33,40.5908,-77.2098,50995,2753,0.0,48242.0,42.0,398.3365397361301,,,,84000042.0,USA,1869.919015670868,,2020-05-02,252932.0,5.398568487106579
