Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-11 04:34:39,32.3182,-86.9023,51329,1104,25783.0,24442.0,1.0,1046.8501596411313,,3089.0,,84000001.0,USA,14814.207499818996,6.115862833610517,2020-07-10,726368.0,2.15083091429796
Alaska,US,2020-07-11 04:34:39,61.3707,-152.4044,1344,17,588.0,739.0,2.0,183.7207553875701,,,,84000002.0,USA,19401.54057508424,,2020-07-10,141931.0,1.2648809523809523
American Samoa,US,2020-07-11 04:34:39,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1466.5444546287808,,2020-07-10,816.0,
Arizona,US,2020-07-11 04:34:39,33.7298,-111.4312,116892,2082,13853.0,100957.0,4.0,1605.94236594169,,5659.0,,84000004.0,USA,9194.079121361636,4.841220956096225,2020-07-10,975259.0,1.7811313006878144
Arkansas,US,2020-07-11 04:34:39,34.9697,-92.3731,26803,313,20642.0,5848.0,5.0,888.1623856287553,,1743.0,,84000005.0,USA,12108.539852157395,6.503003395142335,2020-07-10,365412.0,1.1677797261500578
California,US,2020-07-11 04:34:39,36.1162,-119.6816,319859,6905,,,6.0,808.9471452922302,,,,84000006.0,USA,13099.078227008387,,2020-07-10,5175737.0,2.151530036010049
Colorado,US,2020-07-11 04:34:39,39.0598,-105.3111,36191,1724,4691.0,29776.0,8.0,628.4538829354219,,5831.0,,84000008.0,USA,6549.006587556713,16.119757830426007,2020-07-10,377140.0,4.763615263463292
Connecticut,US,2020-07-11 04:34:39,41.5978,-72.7554,47287,4348,8351.0,34588.0,9.0,1326.316787400285,,10552.0,,84000009.0,USA,15656.77601831213,22.314801108126968,2020-07-10,558209.0,9.194916150316155
Delaware,US,2020-07-11 04:34:39,39.3185,-75.5071,12652,575,6949.0,5128.0,10.0,1299.2881232002826,191808.0,,,84000010.0,USA,1.969758586269363e-06,,2020-07-10,132708.0,4.544736010116978
Diamond Princess,US,2020-07-11 04:34:39,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-10,,0.0
