Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-05-16 02:32:24,32.3182,-86.9023,11494,483,,,1.0,234.4190561849084,,1377.0,,84000001.0,USA,4342.748641954158,12.10762331838565,2020-05-15,212933.0,4.202192448233861
Alaska,US,2020-05-16 02:32:24,61.3707,-152.4044,389,10,343.0,36.0,2.0,53.17512934952737,,,,84000002.0,USA,4431.443041781436,,2020-05-15,32418.0,2.570694087403599
American Samoa,US,2020-05-16 02:32:24,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,188.7097643823799,,2020-05-15,105.0,
Arizona,US,2020-05-16 02:32:24,33.7298,-111.4312,13169,651,3145.0,9373.0,4.0,180.92474264351807,,1629.0,,84000004.0,USA,1950.907007375064,12.36995975396765,2020-05-15,186249.0,4.943427746981548
Arkansas,US,2020-05-16 02:32:24,34.9697,-92.3731,4463,98,3390.0,975.0,5.0,147.888994778985,,520.0,,84000005.0,USA,2701.6002364633355,11.651355590410038,2020-05-15,81529.0,2.1958323997311227
California,US,2020-05-16 02:32:24,36.1162,-119.6816,77394,3127,,,6.0,195.8710346416095,,,,84000006.0,USA,2869.7600739902687,,2020-05-15,1133906.0,4.039124985463801
Colorado,US,2020-05-16 02:32:24,39.0598,-105.3111,21232,1150,3217.0,16865.0,8.0,368.6920185262877,,3789.0,,84000008.0,USA,2049.581713764965,17.845704596834967,2020-05-15,118030.0,5.416352675207234
Connecticut,US,2020-05-16 02:32:24,41.5978,-72.7554,36085,3285,6264.0,26536.0,9.0,1012.1204828671576,,10946.0,,84000009.0,USA,4372.943889229675,30.33393376749342,2020-05-15,155908.0,9.103505611750034
Delaware,US,2020-05-16 02:32:24,39.3185,-75.5071,7373,378,3210.0,3785.0,10.0,757.1649804264688,56420.0,,,84000010.0,USA,5.794011690717669e-07,,2020-05-15,38278.0,5.12681405126814
Diamond Princess,US,2020-05-16 02:32:24,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-05-15,,0.0
District of Columbia,US,2020-05-16 02:32:24,38.8974,-77.0268,6871,368,975.0,5528.0,11.0,973.5755913221273,,,,84000011.0,USA,4865.610861651947,,2020-05-15,34339.0,5.355843399796245
Florida,US,2020-05-16 02:32:24,27.7663,-81.6868,44138,1917,,,12.0,205.50582214504257,,7993.0,,84000012.0,USA,4732.304897857721,18.109112329511984,2020-05-15,1016392.0,4.343196338755721
Georgia,US,2020-05-16 02:32:24,33.0406,-83.6431,36772,1588,,,13.0,346.3363944339413,,6438.0,,84000013.0,USA,2843.194624533656,17.50788643533123,2020-05-15,301874.0,4.3185032089633415
Grand Princess,US,2020-05-16 02:32:24,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-05-15,,2.912621359223301
Guam,US,2020-05-16 02:32:24,13.4443,144.7937,154,5,124.0,25.0,66.0,93.77150198807762,,,,316.0,GUM,2749.2099446504576,,2020-05-15,4515.0,3.2467532467532467
Hawaii,US,2020-05-16 02:32:24,21.0943,-157.4983,638,17,564.0,57.0,15.0,45.06057044704606,,81.0,,84000015.0,USA,2738.6656420919403,12.695924764890282,2020-05-15,38776.0,2.664576802507837
Idaho,US,2020-05-16 02:32:24,44.2405,-114.4788,2351,72,1573.0,706.0,16.0,131.55649067045687,,212.0,,84000016.0,USA,1944.2493697767009,9.017439387494685,2020-05-15,34745.0,3.0625265844321565
