Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-08-07 04:35:29,32.3182,-86.9023,97044,1714,37923.0,57407.0,1.0,1979.2033137644205,,11313.0,,84000001.0,USA,23097.843544553183,11.712150074540334,2020-08-06,1132530.0,1.766209142244755
Alaska,US,2020-08-07 04:35:29,61.3707,-152.4044,3528,25,1220.0,2283.0,2.0,482.2669828923716,,,,84000002.0,USA,35756.105229343375,,2020-08-06,261572.0,0.7086167800453514
American Samoa,US,2020-08-07 04:35:29,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,2508.941248360022,,2020-08-06,1396.0,
Arizona,US,2020-08-07 04:35:29,33.7298,-111.4312,183656,4002,24531.0,155123.0,4.0,2523.191930665803,,14068.0,,84000004.0,USA,13681.861789653314,7.659972992986889,2020-08-06,1414087.0,2.179073920808468
Arkansas,US,2020-08-07 04:35:29,34.9697,-92.3731,47028,515,39555.0,6958.0,5.0,1558.351702098612,,3118.0,,84000005.0,USA,17888.37180943494,6.630092710725525,2020-08-06,539836.0,1.0950922854469678
California,US,2020-08-07 04:35:29,36.1162,-119.6816,545994,9844,,,6.0,1381.7192720338717,,,,84000006.0,USA,21513.502290164743,,2020-08-06,8500463.0,1.7877160462168558
Colorado,US,2020-08-07 04:35:29,39.0598,-105.3111,49436,1852,5471.0,42113.0,8.0,858.4522714706839,,6536.0,,84000008.0,USA,9816.720196932103,13.225950058683072,2020-08-06,565319.0,3.746257787846913
Connecticut,US,2020-08-07 04:35:29,41.5978,-72.7554,50245,4437,8721.0,37087.0,9.0,1409.2834602095147,,10920.0,,84000009.0,USA,24040.0842905494,21.73350582147477,2020-08-06,857098.0,8.830729425813514
Delaware,US,2020-08-07 04:35:29,39.3185,-75.5071,15365,606,8365.0,6394.0,10.0,1577.89772470537,277628.0,,,84000010.0,USA,2.851080960068353e-06,,2020-08-06,192703.0,3.944028636511552
Diamond Princess,US,2020-08-07 04:35:29,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-08-06,,0.0
District of Columbia,US,2020-08-07 04:35:29,38.8974,-77.0268,12518,587,10094.0,1837.0,11.0,1773.718418304525,,,,84000011.0,USA,29186.43880473086,,2020-08-06,205983.0,4.689247483623582
Florida,US,2020-08-07 04:35:29,27.7663,-81.6868,510389,7747,,,12.0,2376.3630218584017,,29515.0,,84000012.0,USA,29846.99924391476,5.78284406599672,2020-08-06,6410460.0,1.5178618661452343
Georgia,US,2020-08-07 04:35:29,33.0406,-83.6431,204895,4026,,,13.0,1929.7997263554444,,20002.0,,84000013.0,USA,16244.638647249902,9.762073257034093,2020-08-06,1724762.0,1.9649088557553869
Grand Princess,US,2020-08-07 04:35:29,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-08-06,,2.912621359223301
Guam,US,2020-08-07 04:35:29,13.4443,144.7937,411,5,321.0,85.0,66.0,250.26030725389543,,,,316.0,GUM,14538.84514915149,,2020-08-06,23877.0,1.2165450121654502
Hawaii,US,2020-08-07 04:35:29,21.0943,-157.4983,2914,29,1402.0,1483.0,15.0,205.8095647064141,,214.0,,84000015.0,USA,9528.333069656012,7.3438572409059715,2020-08-06,134909.0,0.9951956074124916
