Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-15 03:33:25,32.3182,-86.9023,26182,773,13508.0,11901.0,1.0,533.979443973662,,2255.0,,84000001.0,USA,8845.617695436742,8.803435487019325,2020-06-14,433717.0,2.952410052707968
Alaska,US,2020-06-15 03:33:25,61.3707,-152.4044,673,12,411.0,250.0,2.0,91.99707468440084,,,,84000002.0,USA,10042.717809567424,,2020-06-14,73467.0,1.7830609212481427
American Samoa,US,2020-06-15 03:33:25,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-14,174.0,
Arizona,US,2020-06-15 03:33:25,33.7298,-111.4312,35706,1191,6333.0,28182.0,4.0,490.55348628061785,,3726.0,,84000004.0,USA,4644.293767706589,10.435220971265334,2020-06-14,469793.0,3.335573853133927
Arkansas,US,2020-06-15 03:33:25,34.9697,-92.3731,12501,179,8110.0,4212.0,5.0,414.2416141008495,,998.0,,84000005.0,USA,6527.561100720922,7.983361331093512,2020-06-14,196989.0,1.431885449164067
California,US,2020-06-15 03:33:25,36.1162,-119.6816,153228,5013,,,6.0,387.7787387462356,,,,84000006.0,USA,7091.466354601208,,2020-06-14,2801996.0,3.268502806422138
Colorado,US,2020-06-15 03:33:25,39.0598,-105.3111,29130,1598,4178.0,23354.0,8.0,505.84017048185575,,5244.0,,84000008.0,USA,4248.206550881999,18.011334363730036,2020-06-14,244643.0,5.4857535187092346
Connecticut,US,2020-06-15 03:33:25,41.5978,-72.7554,45088,4201,7611.0,33276.0,9.0,1264.6387233341943,,9912.0,,84000009.0,USA,9791.806381926615,21.98367636621717,2020-06-14,349106.0,9.317334989354151
Delaware,US,2020-06-15 03:33:25,39.3185,-75.5071,10264,541,6172.0,3551.0,10.0,1054.0541650749053,105557.0,,,84000010.0,USA,1.0840100886867865e-06,,2020-06-14,81787.0,5.270849571317226
Diamond Princess,US,2020-06-15 03:33:25,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-14,,0.0
District of Columbia,US,2020-06-15 03:33:25,38.8974,-77.0268,9767,515,1150.0,8102.0,11.0,1383.9197788448869,,,,84000011.0,USA,9143.477355263698,,2020-06-14,64530.0,5.272857581652503
Florida,US,2020-06-15 03:33:25,27.7663,-81.6868,75568,2931,,,12.0,351.8433995164388,,12224.0,,84000012.0,USA,9411.503642120211,16.176159220834215,2020-06-14,2021378.0,3.87862587338556
Georgia,US,2020-06-15 03:33:25,33.0406,-83.6431,57681,2451,,,13.0,543.2674199756382,,9248.0,,84000013.0,USA,5846.899007414511,16.033009136457412,2020-06-14,620790.0,4.249232849638529
Grand Princess,US,2020-06-15 03:33:25,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-14,,2.912621359223301
