Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-05-23 02:32:47,32.3182,-86.9023,13954,541,7951.0,5462.0,1.0,284.5905263619464,,1561.0,,84000001.0,USA,5365.0841238909,11.419166057059254,2020-05-22,263060.0,3.877024509101333
Alaska,US,2020-05-23 02:32:47,61.3707,-152.4044,405,10,356.0,39.0,2.0,55.3622811993794,,,,84000002.0,USA,5665.54347306044,,2020-05-22,41446.0,2.469135802469136
American Samoa,US,2020-05-23 02:32:47,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,222.8572455563344,,2020-05-22,124.0,
Arizona,US,2020-05-23 02:32:47,33.7298,-111.4312,15624,775,3949.0,10900.0,4.0,214.6532142958711,,1879.0,,84000004.0,USA,2418.0497744314007,12.02636968766001,2020-05-22,243094.0,4.9603174603174605
Arkansas,US,2020-05-23 02:32:47,34.9697,-92.3731,5612,113,4029.0,1470.0,5.0,185.9630380236755,,584.0,,84000005.0,USA,3414.635277837792,10.406272273699216,2020-05-22,103047.0,2.0135424091233074
California,US,2020-05-23 02:32:47,36.1162,-119.6816,91473,3618,,,6.0,231.49798481345888,,,,84000006.0,USA,3712.200652441145,,2020-05-22,1466773.0,3.9553952115447686
Colorado,US,2020-05-23 02:32:47,39.0598,-105.3111,23487,1324,3580.0,18583.0,8.0,407.84991706513375,,4037.0,,84000008.0,USA,2469.7259954267743,17.188231787797505,2020-05-22,142225.0,5.637160982671265
Connecticut,US,2020-05-23 02:32:47,41.5978,-72.7554,39640,3637,7127.0,28876.0,9.0,1111.8319506956943,,12538.0,,84000009.0,USA,5674.9428587376,31.629667003027244,2020-05-22,202328.0,9.175075681130172
Delaware,US,2020-05-23 02:32:47,39.3185,-75.5071,8529,435,4296.0,3798.0,10.0,875.8795765709145,65502.0,,,84000010.0,USA,6.726681208177752e-07,,2020-05-22,48986.0,5.100246218782976
Diamond Princess,US,2020-05-23 02:32:47,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-05-22,,0.0
