Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-18 04:34:58,32.3182,-86.9023,64152,1265,29736.0,33151.0,1.0,1308.3740466655856,,7584.0,,84000001.0,USA,17047.551744427346,12.020731958599484,2020-07-17,835873.0,1.9718792866941013
Alaska,US,2020-07-18 04:34:58,61.3707,-152.4044,1771,17,697.0,1057.0,2.0,242.09037038049607,,,,84000002.0,USA,22611.59600571393,,2020-07-17,165414.0,0.9599096555618296
American Samoa,US,2020-07-18 04:34:58,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1863.7335777574087,,2020-07-17,1037.0,
Arizona,US,2020-07-18 04:34:58,33.7298,-111.4312,138523,2583,17184.0,118756.0,4.0,1903.123860977148,,6402.0,,84000004.0,USA,10509.654380023292,4.621615183038196,2020-07-17,1110415.0,1.864672292687857
Arkansas,US,2020-07-18 04:34:58,34.9697,-92.3731,31762,353,24776.0,6633.0,5.0,1052.4871727918712,,2070.0,,84000005.0,USA,13503.096953943994,6.51722183741578,2020-07-17,407497.0,1.111390970341918
California,US,2020-07-18 04:34:58,36.1162,-119.6816,382112,7533,,,6.0,966.9969720509018,,,,84000006.0,USA,15296.78297270189,,2020-07-17,6044099.0,1.9616208039112024
Colorado,US,2020-07-18 04:34:58,39.0598,-105.3111,39344,1751,4909.0,32684.0,8.0,683.2054812028196,,5966.0,,84000008.0,USA,7368.78717829746,15.170625031785589,2020-07-17,424349.0,4.450488003253355
Connecticut,US,2020-07-18 04:34:58,41.5978,-72.7554,47893,4396,8466.0,35031.0,9.0,1343.3140165153604,,10654.0,,84000009.0,USA,17669.51720857255,22.24542208673501,2020-07-17,629969.0,9.178794395840727
Delaware,US,2020-07-18 04:34:58,39.3185,-75.5071,13337,581,7315.0,5441.0,10.0,1369.6337100159792,217478.0,,,84000010.0,USA,2.233374821825412e-06,,2020-07-17,148610.0,4.35630201694534
Diamond Princess,US,2020-07-18 04:34:58,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-17,,0.0
