Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-08-02 04:35:05,32.3182,-86.9023,90299,1603,35401.0,53295.0,1.0,1841.6396689090864,,10521.0,,84000001.0,USA,21670.200084230964,11.77517375684115,2020-08-01,1062530.0,1.7752134575133722
Alaska,US,2020-08-02 04:35:05,61.3707,-152.4044,3184,24,930.0,2230.0,2.0,435.2432181205531,,,,84000002.0,USA,32620.41296160865,,2020-08-01,238633.0,0.7537688442211056
American Samoa,US,2020-08-02 04:35:05,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,2277.097823547384,,2020-08-01,1267.0,
Arizona,US,2020-08-02 04:35:05,33.7298,-111.4312,177002,3747,23064.0,150191.0,4.0,2431.774720737185,,11346.0,,84000004.0,USA,13033.203516498856,6.410097061050157,2020-08-01,1345780.0,2.116925232483249
Arkansas,US,2020-08-02 04:35:05,34.9697,-92.3731,43173,458,36034.0,6681.0,5.0,1430.609807661465,,2852.0,,84000005.0,USA,17051.505001650206,6.605980589720427,2020-08-01,514581.0,1.06084821531976
California,US,2020-08-02 04:35:05,36.1162,-119.6816,515532,9278,,,6.0,1304.7354991897064,,,,84000006.0,USA,19959.86659621758,,2020-08-01,7886587.0,1.7868989195585123
Colorado,US,2020-08-02 04:35:05,39.0598,-105.3111,47267,1844,5334.0,40089.0,8.0,820.7877562020554,,6441.0,,84000008.0,USA,9262.501354463897,13.632034540413551,2020-08-01,533403.0,3.901241881227918
Connecticut,US,2020-08-02 04:35:05,41.5978,-72.7554,49810,4432,8613.0,36765.0,9.0,1397.0824789140397,,10807.0,,84000009.0,USA,22270.184700418227,21.69644649668741,2020-08-01,793996.0,8.897811684400724
Delaware,US,2020-08-02 04:35:05,39.3185,-75.5071,14877,600,8212.0,6065.0,10.0,1527.782912492144,263522.0,,,84000010.0,USA,2.7062203983716794e-06,,2020-08-01,182896.0,4.033071183706393
Diamond Princess,US,2020-08-02 04:35:05,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-08-01,,0.0
District of Columbia,US,2020-08-02 04:35:05,38.8974,-77.0268,12057,584,9816.0,1657.0,11.0,1708.39774480729,,,,84000011.0,USA,27457.49551186045,,2020-08-01,193781.0,4.8436592850626194
Florida,US,2020-08-02 04:35:05,27.7663,-81.6868,480028,7022,,,12.0,2235.002691391556,,27344.0,,84000012.0,USA,28117.236001167163,5.696334380494471,2020-08-01,6038946.0,1.4628313348388011
Georgia,US,2020-08-02 04:35:05,33.0406,-83.6431,190012,3825,,,13.0,1789.6244691390746,,18995.0,,84000013.0,USA,15032.696728763656,9.99673704818643,2020-08-01,1596085.0,2.013030755952256
Grand Princess,US,2020-08-02 04:35:05,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-08-01,,2.912621359223301
Guam,US,2020-08-02 04:35:05,13.4443,144.7937,356,5,304.0,47.0,66.0,216.7704851152963,,,,316.0,GUM,13427.591960007065,,2020-08-01,22052.0,1.404494382022472
Hawaii,US,2020-08-02 04:35:05,21.0943,-157.4983,2197,26,1243.0,928.0,15.0,155.16939384351127,,179.0,,84000015.0,USA,8704.953555123628,8.1474738279472,2020-08-01,123251.0,1.183431952662722
