Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Idaho,US,2022-06-08 04:32:18,44.2405,-114.4788,453550,4943,,,16.0,25379.60286839035,1234701.0,,1.0898467644140668,84000016.0,USA,69090.99557095014,
Illinois,US,2022-06-08 04:32:18,40.3495,-88.9861,3337641,38252,,,17.0,26339.07944248897,,,1.1460789222088297,84000017.0,USA,,
Indiana,US,2022-06-08 04:32:18,39.8494,-86.2583,1742261,23746,,,18.0,25879.44628658099,20011100.0,,1.3629416028941703,84000018.0,USA,297243.74682404124,
Iowa,US,2022-06-08 04:32:18,42.0115,-93.2105,780019,9602,,,19.0,24722.716136250543,,,1.230995655234039,84000019.0,USA,,
Kansas,US,2022-06-08 04:32:18,38.5266,-96.7265,789868,8943,,,20.0,27112.353834842383,,,1.132214496599432,84000020.0,USA,,
Kentucky,US,2022-06-08 04:32:18,37.6681,-84.6701,1365683,16009,,,21.0,30568.105588748327,,,1.1722339664475578,84000021.0,USA,,
Louisiana,US,2022-06-08 04:32:18,31.1695,-91.8678,1199715,17350,,,22.0,25807.01575505389,13774820.0,,1.44617680032341,84000022.0,USA,296309.5374843454,
Maine,US,2022-06-08 04:32:18,44.6939,-69.3819,264923,2400,,,23.0,19708.423968838248,4305773.0,,0.905923607991756,84000023.0,USA,320319.4882950011,
Maryland,US,2022-06-08 04:32:18,39.0639,-76.8021,1102725,14651,,,24.0,18239.88368554075,21284481.0,,1.3286177424108458,84000024.0,USA,352060.9923118657,
Massachusetts,US,2022-06-08 04:32:18,42.2302,-71.5301,1887424,20692,,,25.0,27383.72402594529,45268753.0,,1.0963090434369809,84000025.0,USA,656782.4925139677,
Michigan,US,2022-06-08 04:32:18,43.3266,-84.5361,2547366,36407,,,26.0,25507.184092052183,24728166.0,,1.4292017715554026,84000026.0,USA,247607.08999838488,
Minnesota,US,2022-06-08 04:32:18,45.6945,-93.9002,1521933,12992,,,27.0,26986.388473574163,,,0.8536512448314085,84000027.0,USA,,
Mississippi,US,2022-06-08 04:32:18,32.7416,-89.6787,812502,12477,,,28.0,27300.44765903857,,,1.5356269892258727,84000028.0,USA,,
Missouri,US,2022-06-08 04:32:18,38.4561,-92.2884,1471621,20809,,,29.0,23977.812855808654,,,1.414018962762831,84000029.0,USA,,
Montana,US,2022-06-08 04:32:18,46.9219,-110.4544,278993,3423,,,30.0,26103.924294848883,2887563.0,,1.2269125031810837,84000030.0,USA,270174.2550838434,
Nebraska,US,2022-06-08 04:32:18,41.1254,-98.2681,489990,4308,,,31.0,25330.230230644207,,,0.8792016163595175,84000031.0,USA,,
Nevada,US,2022-06-08 04:32:18,38.3135,-117.0554,735631,10896,,,32.0,23882.913722551715,,,1.481177383769852,84000032.0,USA,,
New Hampshire,US,2022-06-08 04:32:18,43.4525,-71.5639,327592,2555,,,33.0,24092.76677176253,,,0.7799335759114997,84000033.0,USA,,
New Jersey,US,2022-06-08 04:32:18,40.2989,-74.521,2421092,33792,,,34.0,27257.82718000853,18206448.0,,1.3957338258934398,84000034.0,USA,204977.0158035349,
New Mexico,US,2022-06-08 04:32:18,34.8405,-106.2485,541646,7849,,,35.0,25831.672492129783,7260026.0,,1.4491014426396576,84000035.0,USA,346238.34370852367,
New York,US,2022-06-08 04:32:18,42.1657,-74.9481,5485811,69190,,,36.0,28199.520900055264,111660709.0,,1.2612538054993143,84000036.0,USA,573985.9607194796,
North Carolina,US,2022-06-08 04:32:18,35.6301,-79.8064,2772730,24660,,,37.0,26436.95454765618,23825613.0,,0.8893761743840908,84000037.0,USA,227168.403685554,
North Dakota,US,2022-06-08 04:32:18,47.5289,-99.784,246017,2284,,,38.0,32274.801787781045,,,0.9286289306130414,84000038.0,USA,,
Northern Mariana Islands,US,2022-06-08 04:32:18,15.0979,145.6739,11403,34,,,69.0,20678.58697229073,,,0.2981671489958782,580.0,MNP,,
Ohio,US,2022-06-08 04:32:18,40.3888,-82.7649,2780653,38657,,,39.0,23788.4268249908,,,1.390213018309009,84000039.0,USA,,
Oklahoma,US,2022-06-08 04:32:18,35.5653,-96.9289,1054966,16127,,,40.0,26660.94848812387,,,1.528674857767928,84000040.0,USA,,
Oregon,US,2022-06-08 04:32:18,44.572,-122.0709,776238,7679,,,41.0,18404.134729121328,11632270.0,,0.989258449083915,84000041.0,USA,275794.104753331,
Pennsylvania,US,2022-06-08 04:32:18,40.5908,-77.2098,2934508,45254,,,42.0,22922.2818422981,26038438.0,,1.5421324460522854,84000042.0,USA,203393.691402172,
Puerto Rico,US,2022-06-08 04:32:18,18.2208,-66.5901,695777,4408,,,72.0,21785.96321375812,4305906.0,,0.6335363198266111,630.0,PRI,134825.2525132339,
Rhode Island,US,2022-06-08 04:32:18,41.6809,-71.5118,395945,3584,,,44.0,37375.83316735277,8091674.0,,0.9051762239705008,84000044.0,USA,763825.9290270266,
South Carolina,US,2022-06-08 04:32:18,33.8569,-80.945,1514423,17970,,,45.0,29413.61668175781,12808249.0,,1.1865905364617415,84000045.0,USA,248765.9831173377,
South Dakota,US,2022-06-08 04:32:18,44.2998,-99.4388,240357,2928,,,46.0,27169.45173224937,1332600.0,,1.218187945431171,84000046.0,USA,150634.31220391134,
Tennessee,US,2022-06-08 04:32:18,35.7478,-86.6923,2078434,26525,,,47.0,30197.48801245949,13118463.0,,1.2847201512530797,84000047.0,USA,192094.4319181207,
Texas,US,2022-06-08 04:32:18,31.0545,-97.5635,6992062,88408,,,48.0,24113.98363788292,49453896.0,,1.2644052641409644,84000048.0,USA,170554.90053914898,
Utah,US,2022-06-08 04:32:18,40.15,-111.8624,954707,4781,,,49.0,29779.148697518805,6152328.0,,0.5007819152891935,84000049.0,USA,191902.9506936772,
Vermont,US,2022-06-08 04:32:18,44.0459,-72.7107,132676,670,,,50.0,21262.55430784837,3673493.0,,0.504989598721698,84000050.0,USA,588711.1792034796,
Virgin Islands,US,2022-06-08 04:32:18,18.3358,-64.8963,20258,114,,,78.0,18885.408509527537,425923.0,,0.5627406456708461,850.0,VIR,397064.3621583324,
Virginia,US,2022-06-08 04:32:18,37.7693,-78.17,1808408,20435,,,51.0,21186.85460134293,13940351.0,,1.1299994249085383,84000051.0,USA,163321.65624609354,
Washington,US,2022-06-08 04:32:18,47.4009,-121.4905,1600084,12986,,,53.0,21012.56051792192,,,0.8115823919244239,84000053.0,USA,,
West Virginia,US,2022-06-08 04:32:18,38.4912,-80.9545,520264,6993,,,54.0,29030.207901472368,6363248.0,,1.3441252902372642,84000054.0,USA,355062.8380372816,
Wisconsin,US,2022-06-08 04:32:18,44.2685,-89.6165,1690047,14660,,,55.0,29026.46899904748,,,0.8674314974672303,84000055.0,USA,,
Wyoming,US,2022-06-08 04:32:18,42.756,-107.3025,159907,1824,,,56.0,27629.28956612337,1426462.0,,1.1406630103747804,84000056.0,USA,246469.0829861825,
