Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-06-08 04:32:18,32.3182,-86.9023,1321892,19676,,,1.0,26959.8638436037,7741762.0,,1.488472583236755,84000001.0,USA,157892.51272387235,
Alaska,US,2022-06-08 04:32:18,61.3707,-152.4044,262071,1285,,,2.0,35824.31702766063,,,0.4903251408969325,84000002.0,USA,,
American Samoa,US,2022-06-08 04:32:18,-14.271,-170.132,6192,31,,,60.0,11128.484391006632,,,0.5006459948320413,16.0,ASM,,
Arizona,US,2022-06-08 04:32:18,33.7298,-111.4312,2062669,30332,,,4.0,28338.35963123721,19622461.0,,1.470521930566659,84000004.0,USA,269586.8104227709,
Arkansas,US,2022-06-08 04:32:18,34.9697,-92.3731,846924,11508,,,5.0,28064.24804261642,5201194.0,,1.358799608937756,84000005.0,USA,172350.29180158817,
California,US,2022-06-08 04:32:18,36.1162,-119.6816,9736490,91576,,,6.0,24625.736699248737,170010674.0,,0.941154610152992,84000006.0,USA,430273.6244427452,
Colorado,US,2022-06-08 04:32:18,39.0598,-105.3111,1463689,12588,,,8.0,25416.84494652993,18469477.0,,0.860018760815993,84000008.0,USA,320721.0228077828,
Connecticut,US,2022-06-08 04:32:18,41.5978,-72.7554,814328,10998,,,9.0,22840.46137099201,14501762.0,,1.3505614445284946,84000009.0,USA,406748.79750213656,
Delaware,US,2022-06-08 04:32:18,39.3185,-75.5071,278877,2962,,,10.0,28639.074765548943,3369632.0,,1.062116990644621,84000010.0,USA,346041.95677802834,
Diamond Princess,US,2022-06-08 04:32:18,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-06-08 04:32:18,38.8974,-77.0268,151652,1347,,,11.0,21488.092792196658,,,0.8882177617176167,84000011.0,USA,,
Florida,US,2022-06-08 04:32:18,27.7663,-81.6868,6240440,74719,,,12.0,29055.388842874832,58853489.0,,1.1973354442955946,84000012.0,USA,274020.903598922,
Georgia,US,2022-06-08 04:32:18,33.0406,-83.6431,2571104,38242,,,13.0,24215.894949273472,18382210.0,,1.4873766288722663,84000013.0,USA,173132.50117283638,
Grand Princess,US,2022-06-08 04:32:18,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-06-08 04:32:18,13.4443,144.7937,49568,366,,,66.0,30182.245523019687,411753.0,,0.7383795997417689,316.0,GUM,250718.8133642657,
Hawaii,US,2022-06-08 04:32:18,21.0943,-157.4983,282619,1457,,,15.0,19960.77329024093,3980526.0,,0.5155350489528305,84000015.0,USA,281136.00664466847,
