Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-04-27 02:32:46,32.3182,-86.9023,6475,219,,,1.0,132.05702007980526,,845.0,,84000001.0,USA,2212.7453889665594,13.159943933966671,2020-04-26,108495.0,3.382239382239382
Alaska,US,2020-04-27 02:32:46,61.3707,-152.4044,340,9,217.0,114.0,2.0,46.47697680935554,,14.0,,84000002.0,USA,2706.31987673756,4.117647058823529,2020-04-26,16177.0,2.647058823529412
American Samoa,US,2020-04-27 02:32:46,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,5.3917075537822825,,2020-04-26,3.0,
Arizona,US,2020-04-27 02:32:46,33.7298,-111.4312,6534,275,1383.0,4876.0,4.0,89.7685677297249,,1037.0,,84000004.0,USA,890.4179129371289,15.870829507193143,2020-04-26,81060.0,4.2087542087542085
Arkansas,US,2020-04-27 02:32:46,34.9697,-92.3731,3001,51,985.0,1965.0,5.0,99.44317125963116,,291.0,,84000005.0,USA,1524.4723210688803,9.696767744085305,2020-04-26,39469.0,1.6994335221592802
California,US,2020-04-27 02:32:46,36.1162,-119.6816,43732,1694,,,6.0,110.67967499576017,,4928.0,,84000006.0,USA,1341.755971008416,11.313650764497911,2020-04-26,526084.0,3.869020396963322
Colorado,US,2020-04-27 02:32:46,39.0598,-105.3111,13441,688,2150.0,10603.0,8.0,233.4019131976184,,2410.0,,84000008.0,USA,1055.1080475039498,17.930213525779333,2020-04-26,59791.0,5.118666765865635
Connecticut,US,2020-04-27 02:32:46,41.5978,-72.7554,25269,1924,,,9.0,708.7507962192104,,1766.0,,84000009.0,USA,2238.557513041727,6.988800506549527,2020-04-26,79811.0,7.614072579049428
Delaware,US,2020-04-27 02:32:46,39.3185,-75.5071,4034,170,911.0,2953.0,10.0,414.2687550576936,30088.0,317.0,,84000010.0,USA,3.089865716949898e-07,7.858205255329698,2020-04-26,19249.0,4.214179474467031
Diamond Princess,US,2020-04-27 02:32:46,,,49,0,0.0,49.0,88888.0,,,,,84088888.0,USA,,,2020-04-26,,0.0
District of Columbia,US,2020-04-27 02:32:46,38.8974,-77.0268,3841,178,657.0,3006.0,11.0,544.244483520345,,402.0,,84000011.0,USA,2560.1169820998684,10.466024472793544,2020-04-26,18068.0,4.634209841187191
