Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-14 03:33:28,32.3182,-86.9023,25364,773,13508.0,11083.0,1.0,517.2964103944681,,2241.0,,84000001.0,USA,8774.39868167324,9.109385797325311,2020-06-13,430225.0,3.047626557325343
Alaska,US,2020-06-14 03:33:28,61.3707,-152.4044,666,12,405.0,249.0,2.0,91.04019575009056,,,,84000002.0,USA,9815.254017182811,,2020-06-13,71803.0,1.8018018018018016
American Samoa,US,2020-06-14 03:33:28,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-13,174.0,
Arizona,US,2020-06-14 03:33:28,33.7298,-111.4312,34660,1189,6209.0,27262.0,4.0,476.18282178026703,,3692.0,,84000004.0,USA,4511.74293491559,10.65204847085978,2020-06-13,460476.0,3.430467397576457
Arkansas,US,2020-06-14 03:33:28,34.9697,-92.3731,12095,177,7607.0,4311.0,5.0,400.7881227541616,,979.0,,84000005.0,USA,6197.122145772224,8.09425382389417,2020-06-13,187017.0,1.4634146341463414
California,US,2020-06-14 03:33:28,36.1162,-119.6816,150678,4991,,,6.0,381.3250395959752,,,,84000006.0,USA,6895.063838853106,,2020-06-13,2724393.0,3.308555120461937
Colorado,US,2020-06-14 03:33:28,39.0598,-105.3111,29017,1597,4184.0,23236.0,8.0,503.8779343244768,,5234.0,,84000008.0,USA,4106.126761150364,18.04703123922488,2020-06-13,236461.0,5.503670262260054
Connecticut,US,2020-06-14 03:33:28,41.5978,-72.7554,44994,4186,7611.0,33197.0,9.0,1262.0021894450574,,9912.0,,84000009.0,USA,9655.71635607456,22.02960394719296,2020-06-13,344254.0,9.303462683913413
Delaware,US,2020-06-14 03:33:28,39.3185,-75.5071,10229,540,6116.0,3573.0,10.0,1050.4598650186288,102902.0,,,84000010.0,USA,1.0567447554027466e-06,,2020-06-13,80099.0,5.279108417245087
Diamond Princess,US,2020-06-14 03:33:28,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-13,,0.0
District of Columbia,US,2020-06-14 03:33:28,38.8974,-77.0268,9709,511,1143.0,8055.0,11.0,1375.701559619638,,,,84000011.0,USA,8931.787363496087,,2020-06-13,63036.0,5.2631578947368425
Florida,US,2020-06-14 03:33:28,27.7663,-81.6868,73552,2925,,,12.0,342.4569357563136,,12155.0,,84000012.0,USA,9317.294461702366,16.525723297802916,2020-06-13,2001144.0,3.9767783336958886
Georgia,US,2020-06-14 03:33:28,33.0406,-83.6431,56804,2447,,,13.0,535.0074118738605,,9224.0,,84000013.0,USA,5648.074867131129,16.238293077952257,2020-06-13,599680.0,4.307795225688332
Grand Princess,US,2020-06-14 03:33:28,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-13,,2.912621359223301
Guam,US,2020-06-14 03:33:28,13.4443,144.7937,183,5,168.0,10.0,66.0,111.42977184297536,,,,316.0,GUM,5201.882736910046,,2020-06-13,8543.0,2.73224043715847
Hawaii,US,2020-06-14 03:33:28,21.0943,-157.4983,723,17,627.0,79.0,15.0,51.06393798309452,,87.0,,84000015.0,USA,4190.915562988745,12.033195020746888,2020-06-13,59338.0,2.351313969571231
