Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-16 04:33:22,32.3182,-86.9023,26485,774,13508.0,12203.0,1.0,540.1591006661996,,2259.0,,84000001.0,USA,8986.118206839024,8.598507917174178,2020-06-15,440606.0,2.922408910704172
Alaska,US,2020-06-16 04:33:22,61.3707,-152.4044,676,12,417.0,247.0,2.0,92.40716565624808,,,,84000002.0,USA,10175.313890464702,,2020-06-15,74437.0,1.7751479289940828
American Samoa,US,2020-06-16 04:33:22,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-15,174.0,
Arizona,US,2020-06-16 04:33:22,33.7298,-111.4312,36844,1203,6462.0,29179.0,4.0,506.18810980012,,3750.0,,84000004.0,USA,4743.377163860059,10.178047986103572,2020-06-15,476074.0,3.265117793942026
Arkansas,US,2020-06-16 04:33:22,34.9697,-92.3731,12917,182,8352.0,4383.0,5.0,428.0264722294755,,1003.0,,84000005.0,USA,6764.455213128487,7.764960904234729,2020-06-15,204138.0,1.4089958968800804
California,US,2020-06-16 04:33:22,36.1162,-119.6816,155544,5032,,,6.0,393.6402160921192,,,,84000006.0,USA,7258.974014193026,,2020-06-15,2868182.0,3.232049171895896
Colorado,US,2020-06-16 04:33:22,39.0598,-105.3111,29299,1605,4196.0,23498.0,8.0,508.77484225705086,,5244.0,,84000008.0,USA,4325.3415332809145,17.907389700860538,2020-06-15,249085.0,5.478002662206901
Connecticut,US,2020-06-16 04:33:22,41.5978,-72.7554,45235,4204,7611.0,33420.0,9.0,1268.7618135650791,,9912.0,,84000009.0,USA,9995.745083074658,21.91223610036476,2020-06-15,356377.0,9.29368851553001
Delaware,US,2020-06-16 04:33:22,39.3185,-75.5071,10340,543,6172.0,3625.0,10.0,1061.858930911391,106544.0,,,84000010.0,USA,1.094146014845486e-06,,2020-06-15,84686.0,5.251450676982592
Diamond Princess,US,2020-06-16 04:33:22,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-15,,0.0
District of Columbia,US,2020-06-16 04:33:22,38.8974,-77.0268,9799,515,1155.0,8129.0,11.0,1388.4539687622653,,,,84000011.0,USA,9329.945915615892,,2020-06-15,65846.0,5.255638330441882
Florida,US,2020-06-16 04:33:22,27.7663,-81.6868,77326,2938,,,12.0,360.02861940250034,,12298.0,,84000012.0,USA,9658.247514624096,15.904094353774926,2020-06-15,2074373.0,3.799498228280268
Georgia,US,2020-06-16 04:33:22,33.0406,-83.6431,58414,2494,,,13.0,550.1711667699403,,9322.0,,84000013.0,USA,5938.314786930878,15.95850309857226,2020-06-15,630496.0,4.269524429075222
Grand Princess,US,2020-06-16 04:33:22,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-15,,2.912621359223301
Guam,US,2020-06-16 04:33:22,13.4443,144.7937,185,5,169.0,11.0,66.0,112.64758355710624,,,,316.0,GUM,5332.797496179116,,2020-06-15,8758.0,2.702702702702702
Hawaii,US,2020-06-16 04:33:22,21.0943,-157.4983,736,17,629.0,90.0,15.0,51.9821000768431,,91.0,,84000015.0,USA,4341.776657776974,12.36413043478261,2020-06-15,61474.0,2.3097826086956523
Idaho,US,2020-06-16 04:33:22,44.2405,-114.4788,3399,87,2837.0,475.0,16.0,190.20013261968649,,266.0,,84000016.0,USA,3524.214284315344,7.825831126802001,2020-06-15,62980.0,2.5595763459841128
Illinois,US,2020-06-16 04:33:22,40.3495,-88.9861,133016,6326,,,17.0,1049.699171097824,,,,84000017.0,USA,9552.478684792028,,2020-06-15,1210473.0,4.755818848860288
Indiana,US,2020-06-16 04:33:22,39.8494,-86.2583,40430,2386,28744.0,9300.0,18.0,600.5449317676682,453963.0,6451.0,,84000018.0,USA,6.743140708880683e-07,15.955973287162998,2020-06-15,355829.0,5.90155824882513
Iowa,US,2020-06-16 04:33:22,42.0115,-93.2105,24082,658,14625.0,8799.0,19.0,763.2794201079532,,,,84000019.0,USA,7207.066721182097,,2020-06-15,227388.0,2.7323312017274315
Kansas,US,2020-06-16 04:33:22,38.5266,-96.7265,11319,246,676.0,10397.0,20.0,388.52660578296747,,988.0,,84000020.0,USA,4701.244012832121,8.728686279706688,2020-06-15,136962.0,2.1733368672144184
