Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-06-02 14:31:05,32.3182,-86.9023,1317029,19664,,,1.0,26860.683412924456,7727855.0,,1.493057480131417,84000001.0,USA,157608.88075811946,
Alaska,US,2022-06-02 14:31:05,61.3707,-152.4044,262071,1285,,,2.0,35824.31702766063,,,0.4903251408969325,84000002.0,USA,,
American Samoa,US,2022-06-02 14:31:05,-14.271,-170.132,6145,31,,,60.0,11044.014305997376,,,0.5044751830756713,16.0,ASM,,
Arizona,US,2022-06-02 14:31:05,33.7298,-111.4312,2062669,30332,,,4.0,28338.35963123721,19622461.0,,1.470521930566659,84000004.0,USA,269586.8104227709,
Arkansas,US,2022-06-02 14:31:05,34.9697,-92.3731,843828,11488,,,5.0,27961.656886928376,5187861.0,,1.3614148854979924,84000005.0,USA,171908.48047123008,
California,US,2022-06-02 14:31:05,36.1162,-119.6816,9618950,91406,,,6.0,24344.238996626435,169273997.0,,0.9502700398692164,84000006.0,USA,428409.1963137584,
Colorado,US,2022-06-02 14:31:05,39.0598,-105.3111,1449140,12548,,,8.0,25164.20270003696,18355403.0,,0.8658928743944685,84000008.0,USA,318740.1367244479,
Connecticut,US,2022-06-02 14:31:05,41.5978,-72.7554,810190,10973,,,9.0,22724.397783404253,14464577.0,,1.3543736654365026,84000009.0,USA,405705.82396312,
Delaware,US,2022-06-02 14:31:05,39.3185,-75.5071,276771,2958,,,10.0,28422.800596448425,3358993.0,,1.0687535905134569,84000010.0,USA,344949.39225520764,
Diamond Princess,US,2022-06-02 14:31:05,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-06-02 14:31:05,38.8974,-77.0268,150303,1343,,,11.0,21296.94834849217,,,0.8935284059533076,84000011.0,USA,,
Florida,US,2022-06-02 14:31:05,27.7663,-81.6868,6169670,74557,,,12.0,28725.884854628774,58600222.0,,1.2084438875985264,84000012.0,USA,272841.6964971682,
Georgia,US,2022-06-02 14:31:05,33.0406,-83.6431,2571104,38242,,,13.0,24215.894949273472,18382210.0,,1.4873766288722663,84000013.0,USA,173132.50117283638,
Grand Princess,US,2022-06-02 14:31:05,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-06-02 14:31:05,13.4443,144.7937,49262,364,,,66.0,29995.92033075766,409110.0,,0.738906256343632,316.0,GUM,249109.4751840418,
Hawaii,US,2022-06-02 14:31:05,21.0943,-157.4983,282619,1457,,,15.0,19960.77329024093,3980526.0,,0.5155350489528305,84000015.0,USA,281136.00664466847,
Idaho,US,2022-06-02 14:31:05,44.2405,-114.4788,452085,4942,,,16.0,25297.62487654338,1232583.0,,1.0931572602497317,84000016.0,USA,68972.47721823213,
Illinois,US,2022-06-02 14:31:05,40.3495,-88.9861,3306763,38161,,,17.0,26095.40491457384,,,1.1540288796021971,84000017.0,USA,,
Indiana,US,2022-06-02 14:31:05,39.8494,-86.2583,1735581,23712,,,18.0,25780.221944651534,19965333.0,,1.366228369635298,84000018.0,USA,296563.9263963338,
Iowa,US,2022-06-02 14:31:05,42.0115,-93.2105,780019,9602,,,19.0,24722.716136250543,,,1.230995655234039,84000019.0,USA,,
Kansas,US,2022-06-02 14:31:05,38.5266,-96.7265,789859,8943,,,20.0,27112.044908307173,,,1.13222739754817,84000020.0,USA,,
Kentucky,US,2022-06-02 14:31:05,37.6681,-84.6701,1356443,15957,,,21.0,30361.286513135587,,,1.1763855908431096,84000021.0,USA,,
