Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Louisiana,US,2022-06-02 14:31:05,31.1695,-91.8678,1193425,17332,,,22.0,25671.71184612612,13761364.0,,1.452290675995559,84000022.0,USA,296020.0860696344,
Maine,US,2022-06-02 14:31:05,44.6939,-69.3819,263714,2351,,,23.0,19618.48279884423,4286495.0,,0.8914960904616365,84000023.0,USA,318885.339514898,
Maryland,US,2022-06-02 14:31:05,39.0639,-76.8021,1093441,14613,,,24.0,18086.319487634144,21198475.0,,1.3364232729520842,84000024.0,USA,350638.3897262177,
Massachusetts,US,2022-06-02 14:31:05,42.2302,-71.5301,1873034,20627,,,25.0,27174.946459943505,45156597.0,,1.10126137592804,84000025.0,USA,655155.2752316538,
Michigan,US,2022-06-02 14:31:05,43.3266,-84.5361,2547366,36407,,,26.0,25507.184092052183,24728166.0,,1.4292017715554026,84000026.0,USA,247607.08999838488,
Minnesota,US,2022-06-02 14:31:05,45.6945,-93.9002,1508948,12948,,,27.0,26756.142954008348,,,0.8580812592614192,84000027.0,USA,,
Mississippi,US,2022-06-02 14:31:05,32.7416,-89.6787,808888,12470,,,28.0,27179.01556676094,,,1.5416225732116189,84000028.0,USA,,
Missouri,US,2022-06-02 14:31:05,38.4561,-92.2884,1462024,20771,,,29.0,23821.4444226474,,,1.4207017121469965,84000029.0,USA,,
Montana,US,2022-06-02 14:31:05,46.9219,-110.4544,277497,3400,,,30.0,25963.951353789093,2887563.0,,1.2252384710465338,84000030.0,USA,270174.2550838434,
Nebraska,US,2022-06-02 14:31:05,41.1254,-98.2681,487599,4291,,,31.0,25206.62652346351,,,0.8800264151485134,84000031.0,USA,,
Nevada,US,2022-06-02 14:31:05,38.3135,-117.0554,735631,10896,,,32.0,23882.913722551715,,,1.481177383769852,84000032.0,USA,,
New Hampshire,US,2022-06-02 14:31:05,43.4525,-71.5639,325833,2539,,,33.0,23963.40104625174,,,0.7792335337427455,84000033.0,USA,,
New Jersey,US,2022-06-02 14:31:05,40.2989,-74.521,2398157,33727,,,34.0,26999.61383397563,18174945.0,,1.4063716428907698,84000034.0,USA,204622.33976080225,
New Mexico,US,2022-06-02 14:31:05,34.8405,-106.2485,536571,7797,,,35.0,25589.640356938977,7220219.0,,1.4531161766103646,84000035.0,USA,344339.9056384665,
New York,US,2022-06-02 14:31:05,42.1657,-74.9481,5448449,69043,,,36.0,28007.463517861845,111136635.0,,1.2672046668694157,84000036.0,USA,571291.9860790526,
North Carolina,US,2022-06-02 14:31:05,35.6301,-79.8064,2772730,24660,,,37.0,26436.95454765618,23825613.0,,0.8893761743840908,84000037.0,USA,227168.403685554,
North Dakota,US,2022-06-02 14:31:05,47.5289,-99.784,244278,2283,,,38.0,32054.87217575473,,,0.934590916906148,84000038.0,USA,,
Northern Mariana Islands,US,2022-06-02 14:31:05,15.0979,145.6739,11366,34,,,69.0,20611.48991730741,,,0.2991377793418969,580.0,MNP,,
Ohio,US,2022-06-02 14:31:05,40.3888,-82.7649,2763123,38628,,,39.0,23638.458050662583,,,1.3979833688185437,84000039.0,USA,,
Oklahoma,US,2022-06-02 14:31:05,35.5653,-96.9289,1049849,16090,,,40.0,26531.632402663552,,,1.5326013550520123,84000040.0,USA,,
Oregon,US,2022-06-02 14:31:05,44.572,-122.0709,767285,7639,,,41.0,18191.86449984909,11632270.0,,0.9955883407078204,84000041.0,USA,275794.104753331,
Pennsylvania,US,2022-06-02 14:31:05,40.5908,-77.2098,2932186,45254,,,42.0,22904.1440357432,26038438.0,,1.5433536617390575,84000042.0,USA,203393.691402172,
Puerto Rico,US,2022-06-02 14:31:05,18.2208,-66.5901,672907,4375,,,72.0,21069.864551832456,4281857.0,,0.6501641385808142,630.0,PRI,134072.23735273324,
Rhode Island,US,2022-06-02 14:31:05,41.6809,-71.5118,393415,3579,,,44.0,37137.00995222592,8008361.0,,0.9097263703722532,84000044.0,USA,755961.4711132465,
South Carolina,US,2022-06-02 14:31:05,33.8569,-80.945,1504967,17907,,,45.0,29229.959170387014,12808249.0,,1.1898599769961733,84000045.0,USA,248765.9831173377,
South Dakota,US,2022-06-02 14:31:05,44.2998,-99.4388,240357,2928,,,46.0,27169.45173224937,1332600.0,,1.218187945431171,84000046.0,USA,150634.31220391134,
Tennessee,US,2022-06-02 14:31:05,35.7478,-86.6923,2062239,26478,,,47.0,30197.48801245949,13118463.0,,1.2839442954963027,84000047.0,USA,192094.4319181207,
Texas,US,2022-06-02 14:31:05,31.0545,-97.5635,6953153,88366,,,48.0,23979.79561303897,49289591.0,,1.270876679975257,84000048.0,USA,169988.25108987032,
Utah,US,2022-06-02 14:31:05,40.15,-111.8624,948979,4777,,,49.0,29600.48135377944,6128321.0,,0.503383109636778,84000049.0,USA,191154.1261613533,
Vermont,US,2022-06-02 14:31:05,44.0459,-72.7107,132676,670,,,50.0,21262.55430784837,3673493.0,,0.504989598721698,84000050.0,USA,588711.1792034796,
Virgin Islands,US,2022-06-02 14:31:05,18.3358,-64.8963,19971,113,,,78.0,18617.854346123728,424279.0,,0.5658204396374743,850.0,VIR,395531.7522467092,
Virginia,US,2022-06-02 14:31:05,37.7693,-78.17,1793644,20410,,,51.0,21013.88327997396,13873994.0,,1.1379069648157605,84000051.0,USA,162544.23427561932,
Washington,US,2022-06-02 14:31:05,47.4009,-121.4905,1583206,12946,,,53.0,20790.91590650059,,,0.8177078661905021,84000053.0,USA,,
West Virginia,US,2022-06-02 14:31:05,38.4912,-80.9545,516553,6962,,,54.0,28823.1378341174,6324859.0,,1.3477803826519257,84000054.0,USA,352920.77045019186,
Wisconsin,US,2022-06-02 14:31:05,44.2685,-89.6165,1677361,14620,,,55.0,28808.58761129796,,,0.8716072449520408,84000055.0,USA,,
Wyoming,US,2022-06-02 14:31:05,42.756,-107.3025,158472,1820,,,56.0,27381.345257697936,1426462.0,,1.148467868140744,84000056.0,USA,246469.0829861825,
