Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-05-31 02:32:52,32.3182,-86.9023,17689,618,9355.0,7716.0,1.0,360.7655024234248,,1826.0,,84000001.0,USA,6462.962339785262,10.519039115156405,2020-05-30,316891.0,3.4936966476341227
Alaska,US,2020-05-31 02:32:52,61.3707,-152.4044,435,10,368.0,57.0,2.0,59.463190917851946,,,,84000002.0,USA,7066.550929881279,,2020-05-30,51695.0,2.2988505747126435
American Samoa,US,2020-05-31 02:32:52,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-05-30,174.0,
Arizona,US,2020-05-31 02:32:52,33.7298,-111.4312,19258,904,4657.0,13697.0,4.0,264.57959555234805,,2980.0,,84000004.0,USA,2981.940361192776,15.474088690414373,2020-05-30,301559.0,4.694153079239796
Arkansas,US,2020-05-31 02:32:52,34.9697,-92.3731,7013,133,5166.0,1714.0,5.0,232.3875241732068,,702.0,,84000005.0,USA,4191.690381482694,10.00998146299729,2020-05-30,126497.0,1.8964779694852416
California,US,2020-05-31 02:32:52,36.1162,-119.6816,111533,4078,,,6.0,282.25949220827187,,,,84000006.0,USA,4779.774096739634,,2020-05-30,1888595.0,3.6538237377496032
Colorado,US,2020-05-31 02:32:52,39.0598,-105.3111,26098,1443,3859.0,20796.0,8.0,453.1897277458109,,4307.0,,84000008.0,USA,3051.728712689729,16.512038030976843,2020-05-30,175741.0,5.529159322553452
Connecticut,US,2020-05-31 02:32:52,41.5978,-72.7554,42022,3912,7127.0,30983.0,9.0,1178.6428413757433,,12538.0,,84000009.0,USA,6926.090382064614,29.83675217743087,2020-05-30,246935.0,9.309409357003474
Delaware,US,2020-05-31 02:32:52,39.3185,-75.5071,9422,494,5205.0,3723.0,10.0,967.5855751496256,77559.0,,,84000010.0,USA,7.964866230421334e-07,,2020-05-30,59329.0,5.243048185098705
Diamond Princess,US,2020-05-31 02:32:52,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-05-30,,0.0
District of Columbia,US,2020-05-31 02:32:52,38.8974,-77.0268,8717,462,1100.0,7155.0,11.0,1235.1416721809028,,,,84000011.0,USA,6465.32974187707,,2020-05-30,45629.0,5.299988528163359
Florida,US,2020-05-31 02:32:52,27.7663,-81.6868,55424,2447,,,12.0,258.05325765931485,,10375.0,,84000012.0,USA,6849.962824295688,18.719327367205544,2020-05-30,1471217.0,4.415054849884527
Georgia,US,2020-05-31 02:32:52,33.0406,-83.6431,46331,2004,,,13.0,436.36765719892674,,7921.0,,84000013.0,USA,4283.8831983994605,17.09654443029505,2020-05-30,454838.0,4.325397681897649
Grand Princess,US,2020-05-31 02:32:52,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-05-30,,2.912621359223301
Guam,US,2020-05-31 02:32:52,13.4443,144.7937,172,5,144.0,23.0,66.0,104.73180741525552,,,,316.0,GUM,3715.5435398133095,,2020-05-30,6102.0,2.9069767441860463
Hawaii,US,2020-05-31 02:32:52,21.0943,-157.4983,651,17,605.0,29.0,15.0,45.978732540794645,,83.0,,84000015.0,USA,3814.892871672016,12.749615975422428,2020-05-30,54014.0,2.61136712749616
Idaho,US,2020-05-31 02:32:52,44.2405,-114.4788,2803,82,2225.0,496.0,16.0,156.84935914474292,,240.0,,84000016.0,USA,2541.8213663185165,8.56225472707813,2020-05-30,45424.0,2.9254370317516947
Illinois,US,2020-05-31 02:32:52,40.3495,-88.9861,118917,5330,,,17.0,938.4365514632822,,,,84000017.0,USA,6921.6965738389135,,2020-05-30,877105.0,4.482117779627807
Indiana,US,2020-05-31 02:32:52,39.8494,-86.2583,34211,2096,,,18.0,508.1682577468142,332937.0,5285.0,,84000018.0,USA,4.945427354635968e-07,15.448247639648066,2020-05-30,256395.0,6.126684399754465
Iowa,US,2020-05-31 02:32:52,42.0115,-93.2105,19244,531,11019.0,7694.0,19.0,609.9389237005835,,,,84000019.0,USA,4767.659671576225,,2020-05-30,150423.0,2.7593016004988566
Kansas,US,2020-05-31 02:32:52,38.5266,-96.7265,9690,215,547.0,8928.0,20.0,332.610902909882,,842.0,,84000020.0,USA,3259.140621299317,8.68937048503612,2020-05-30,94949.0,2.218782249742002
Kentucky,US,2020-05-31 02:32:52,37.6681,-84.6701,9704,431,3231.0,6042.0,21.0,217.20479542706013,,2266.0,,84000021.0,USA,4660.032191254821,23.351195383347072,2020-05-30,208195.0,4.441467436108821
Louisiana,US,2020-05-31 02:32:52,31.1695,-91.8678,39577,2786,28700.0,8091.0,22.0,851.3390784792787,,,,84000022.0,USA,7933.649028113527,,2020-05-30,368819.0,7.039442100209718
Maine,US,2020-05-31 02:32:52,44.6939,-69.3819,2282,89,1505.0,688.0,23.0,169.7648882765516,,272.0,,84000023.0,USA,3687.3647906729,11.919368974583698,2020-05-30,49566.0,3.9000876424189306
Maryland,US,2020-05-31 02:32:52,39.0639,-76.8021,52015,2509,3649.0,45857.0,24.0,860.366410395522,,8619.0,,84000024.0,USA,4862.083338846912,16.570220128808998,2020-05-30,293946.0,4.823608574449678
Massachusetts,US,2020-05-31 02:32:52,42.2302,-71.5301,96301,6768,,,25.0,1397.1847382583655,,9789.0,,84000025.0,USA,8451.487072258074,10.165003478676232,2020-05-30,582519.0,7.027964403277225
Michigan,US,2020-05-31 02:32:52,43.3266,-84.5361,56969,5464,38099.0,13406.0,26.0,570.4397289357403,631367.0,,,84000026.0,USA,6.321978976969431e-07,,2020-05-30,538812.0,9.591181168705788
Minnesota,US,2020-05-31 02:32:52,45.6945,-93.9002,24190,1036,17864.0,5290.0,27.0,428.928696056764,,3011.0,,84000027.0,USA,4300.067805842651,12.447292269532864,2020-05-30,242508.0,4.282761471682513
Mississippi,US,2020-05-31 02:32:52,32.7416,-89.6787,15229,723,9401.0,5105.0,28.0,511.701531072537,,2240.0,,84000028.0,USA,5575.392898675436,14.708779302646269,2020-05-30,165932.0,4.747521176702344
Missouri,US,2020-05-31 02:32:52,38.4561,-92.2884,13298,782,,,29.0,216.67056623719253,,,,84000029.0,USA,3021.2981724592128,,2020-05-30,185430.0,5.880583546397955
Montana,US,2020-05-31 02:32:52,46.9219,-110.4544,505,17,448.0,40.0,30.0,47.25022408769642,,67.0,,84000030.0,USA,3675.5996100219127,13.267326732673268,2020-05-30,39284.0,3.366336633663366
Nebraska,US,2020-05-31 02:32:52,41.1254,-98.2681,13905,170,,,31.0,718.8245706179875,,,,84000031.0,USA,5118.258402570709,,2020-05-30,99008.0,1.222581805106077
Nevada,US,2020-05-31 02:32:52,38.3135,-117.0554,8517,417,428.0,7672.0,32.0,276.51196887430376,,,,84000032.0,USA,4497.564409075385,,2020-05-30,138532.0,4.896090172595985
New Hampshire,US,2020-05-31 02:32:52,43.4525,-71.5639,4492,238,2802.0,1452.0,33.0,330.36432006507266,,440.0,,84000033.0,USA,5646.052727381039,9.79519145146928,2020-05-30,76770.0,5.2983081032947466
