Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-08-18 04:32:19,32.3182,-86.9023,1449812,20026,,,1.0,29568.780292809675,8088638.0,,1.3812825387015697,84000001.0,USA,164967.0163373399,
Alaska,US,2022-08-18 04:32:19,61.3707,-152.4044,290881,1330,,,2.0,39762.55732730044,,,0.4572316514313413,84000002.0,USA,,
American Samoa,US,2022-08-18 04:32:19,-14.271,-170.132,8042,33,,,60.0,14453.37071583904,,,0.410345685152947,16.0,ASM,,
Arizona,US,2022-08-18 04:32:19,33.7298,-111.4312,2237208,30982,,,4.0,30736.295970842115,20442677.0,,1.3848511180006509,84000004.0,USA,280855.4996711645,
Arkansas,US,2022-08-18 04:32:19,34.9697,-92.3731,919632,11841,,,5.0,30473.549640732133,5413465.0,,1.2875802494911008,84000005.0,USA,179384.24761846694,
California,US,2022-08-18 04:32:19,36.1162,-119.6816,10946949,94276,,,6.0,27706.01897038292,181287977.0,,0.8611832143629677,84000006.0,USA,458814.9267126783,
Colorado,US,2022-08-18 04:32:19,39.0598,-105.3111,1618025,13093,,,8.0,28096.87750923119,19657441.0,,0.8091963968418288,84000008.0,USA,341349.9247056993,
Connecticut,US,2022-08-18 04:32:19,41.5978,-72.7554,866537,11180,,,9.0,24304.83156054477,14648536.0,,1.2901930327268196,84000009.0,USA,410865.5488323941,
Delaware,US,2022-08-18 04:32:19,39.3185,-75.5071,299463,3036,,,10.0,30753.13936436344,3497153.0,,1.013814728363771,84000010.0,USA,359137.6349916407,
Diamond Princess,US,2022-08-18 04:32:19,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-08-18 04:32:19,38.8974,-77.0268,164724,1374,,,11.0,23340.3093734458,,,0.8341225322357397,84000011.0,USA,,
Florida,US,2022-08-18 04:32:19,27.7663,-81.6868,6952951,78845,,,12.0,32372.82866439793,61967821.0,,1.1339789393021755,84000012.0,USA,288521.1835865203,
Georgia,US,2022-08-18 04:32:19,33.0406,-83.6431,2829283,39472,,,13.0,26647.549033320043,19518572.0,,1.3951237822444769,84000013.0,USA,183835.30542204072,
Grand Princess,US,2022-08-18 04:32:19,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-08-18 04:32:19,13.4443,144.7937,57040,390,,,66.0,34731.990087012644,492638.0,,0.6837307152875175,316.0,GUM,299970.1636130038,
Hawaii,US,2022-08-18 04:32:19,21.0943,-157.4983,335518,1619,,,15.0,23696.91610541066,4217206.0,,0.4825374495556125,84000015.0,USA,297852.20697916194,
Idaho,US,2022-08-18 04:32:19,44.2405,-114.4788,485488,5081,,,16.0,27166.779048327844,1264675.0,,1.046575816498039,84000016.0,USA,70768.27087990644,
Illinois,US,2022-08-18 04:32:19,40.3495,-88.9861,3636061,39145,,,17.0,28694.06851627718,,,1.0765770981289915,84000017.0,USA,,
Indiana,US,2022-08-18 04:32:19,39.8494,-86.2583,1867509,24312,,,18.0,27739.872989871543,20671204.0,,1.3018411156251457,84000018.0,USA,307048.8942798801,
Iowa,US,2022-08-18 04:32:19,42.0115,-93.2105,832937,9882,,,19.0,26399.953091373565,,,1.1864042538631374,84000019.0,USA,,
Kansas,US,2022-08-18 04:32:19,38.5266,-96.7265,854085,8947,,,20.0,29316.613313909864,,,1.047553814901327,84000020.0,USA,,
Kentucky,US,2022-08-18 04:32:19,37.6681,-84.6701,1511114,16562,,,21.0,33823.29011098171,,,1.0960126105641268,84000021.0,USA,,
Louisiana,US,2022-08-18 04:32:19,31.1695,-91.8678,1407047,17743,,,22.0,30266.925142305725,14290846.0,,1.2610097601572656,84000022.0,USA,307409.7497114305,
Maine,US,2022-08-18 04:32:19,44.6939,-69.3819,279644,2496,,,23.0,20803.563723579315,4457492.0,,0.8925634020397363,84000023.0,USA,331606.3240024639,
Maryland,US,2022-08-18 04:32:19,39.0639,-76.8021,1207014,15093,,,24.0,19964.900557092005,22632436.0,,1.2504411713534391,84000024.0,USA,374357.1608156568,
Massachusetts,US,2022-08-18 04:32:19,42.2302,-71.5301,1987385,21285,,,25.0,28834.00993804428,46692520.0,,1.0710053663482415,84000025.0,USA,677439.2408679401,
Michigan,US,2022-08-18 04:32:19,43.3266,-84.5361,2731787,37774,,,26.0,27353.82112710736,25785816.0,,1.3827578797322049,84000026.0,USA,258197.5089860604,
Minnesota,US,2022-08-18 04:32:19,45.6945,-93.9002,1611246,13362,,,27.0,28570.05563483575,,,0.8292960851415613,84000027.0,USA,,
Mississippi,US,2022-08-18 04:32:19,32.7416,-89.6787,897715,12750,,,28.0,30163.64436054781,,,1.4202725809416128,84000028.0,USA,,
Missouri,US,2022-08-18 04:32:19,38.4561,-92.2884,1595326,21263,,,29.0,25993.39658241205,,,1.3328310326541408,84000029.0,USA,,
Montana,US,2022-08-18 04:32:19,46.9219,-110.4544,300607,3481,,,30.0,28126.23388580229,3020758.0,,1.157990332893113,84000030.0,USA,282636.61864297354,
Nebraska,US,2022-08-18 04:32:19,41.1254,-98.2681,524339,4432,,,31.0,27105.915608289462,,,0.845254692098051,84000031.0,USA,,
Nevada,US,2022-08-18 04:32:19,38.3135,-117.0554,829615,11353,,,32.0,26934.1877489322,,,1.3684660957190986,84000032.0,USA,,
New Hampshire,US,2022-08-18 04:32:19,43.4525,-71.5639,342042,2646,,,33.0,25155.49260100124,,,0.7735892083428351,84000033.0,USA,,
New Jersey,US,2022-08-18 04:32:19,40.2989,-74.521,2645729,34425,,,34.0,29786.89940206188,31097934.0,,1.3011536706896285,84000034.0,USA,350115.6133791329,
New Mexico,US,2022-08-18 04:32:19,34.8405,-106.2485,604185,8334,,,35.0,28814.22376359732,7721945.0,,1.3793788326423198,84000035.0,USA,368267.7509706323,
New York,US,2022-08-18 04:32:19,42.1657,-74.9481,5924518,70798,,,36.0,30454.670998281497,117069817.0,,1.1950001671022017,84000036.0,USA,601791.193910462,
North Carolina,US,2022-08-18 04:32:19,35.6301,-79.8064,3074964,25760,,,37.0,29318.643901021387,24985927.0,,0.8377333848461316,84000037.0,USA,238231.5683207724,
North Dakota,US,2022-08-18 04:32:19,47.5289,-99.784,261790,2329,,,38.0,34352.84793100824,,,0.8896443714427594,84000038.0,USA,,
Northern Mariana Islands,US,2022-08-18 04:32:19,15.0979,145.6739,12948,39,,,69.0,23480.34237632381,,,0.3012048192771084,580.0,MNP,,
Ohio,US,2022-08-18 04:32:19,40.3888,-82.7649,3002043,39310,,,39.0,25682.413530554106,,,1.3064436452109447,84000039.0,USA,,
Oklahoma,US,2022-08-18 04:32:19,35.5653,-96.9289,1147408,16372,,,40.0,28997.12936991452,,,1.4268682107846555,84000040.0,USA,,
Oregon,US,2022-08-18 04:32:19,44.572,-122.0709,868903,8326,,,41.0,20601.165980714304,12316211.0,,0.9582197322370852,84000041.0,USA,292009.9332888703,
Pennsylvania,US,2022-08-18 04:32:19,40.5908,-77.2098,3147474,46494,,,42.0,24585.82021903003,27220664.0,,1.4771845613339458,84000042.0,USA,212628.3970404912,
Puerto Rico,US,2022-08-18 04:32:19,18.2208,-66.5901,896405,4880,,,72.0,28067.9676888268,4554964.0,,0.5443967849353808,630.0,PRI,142623.6827949077,
Rhode Island,US,2022-08-18 04:32:19,41.6809,-71.5118,413259,3632,,,44.0,39010.21464826438,8285215.0,,0.8788677318582293,84000044.0,USA,782095.5273981201,
South Carolina,US,2022-08-18 04:32:19,33.8569,-80.945,1650748,18227,,,45.0,32061.365226345843,12808249.0,,1.104166111362849,84000045.0,USA,248765.9831173377,
South Dakota,US,2022-08-18 04:32:19,44.2998,-99.4388,254670,2979,,,46.0,28787.363266524164,1375479.0,,1.1697490870538343,84000046.0,USA,155481.26453243566,
Tennessee,US,2022-08-18 04:32:19,35.7478,-86.6923,2247353,27250,,,47.0,32908.12329573093,13543009.0,,1.21253759422752,84000047.0,USA,198311.084180898,
Texas,US,2022-08-18 04:32:19,31.0545,-97.5635,7738599,89911,,,48.0,26688.6148415356,51801055.0,,1.1618511309346822,84000048.0,USA,178649.70200422604,
Utah,US,2022-08-18 04:32:19,40.15,-111.8624,1020130,4940,,,49.0,31819.817976405186,6381500.0,,0.4842520070971347,84000049.0,USA,199051.26642332805,
Vermont,US,2022-08-18 04:32:19,44.0459,-72.7107,139226,702,,,50.0,22312.25229931937,3785302.0,,0.5042161665206212,84000050.0,USA,606629.6040475073,
Virgin Islands,US,2022-08-18 04:32:19,18.3358,-64.8963,22278,122,,,78.0,20768.542342543908,455370.0,,0.5476254600951611,850.0,VIR,424516.1651191408,
Virginia,US,2022-08-18 04:32:19,37.7693,-78.17,2005336,21203,,,51.0,23494.013662203783,14630833.0,,1.0573290461049918,84000051.0,USA,171411.17019363437,
