Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-25 04:47:52,32.3182,-86.9023,76795,1438,32510.0,42847.0,1.0,1566.2268505063546,,9157.0,,84000001.0,USA,19214.16385471892,12.047891586079864,2020-07-24,942106.0,1.8725177420404973
Alaska,US,2020-07-25 04:47:52,61.3707,-152.4044,2291,19,800.0,1472.0,2.0,313.1728055006869,,,,84000002.0,USA,27417.588801782527,,2020-07-24,200572.0,0.8293321693583589
American Samoa,US,2020-07-25 04:47:52,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1863.7335777574087,,2020-07-24,1037.0,
Arizona,US,2020-07-25 04:47:52,33.7298,-111.4312,156301,3143,20171.0,132987.0,4.0,2147.370202743148,,7461.0,,84000004.0,USA,11496.765157925496,4.773481935496254,2020-07-24,1224884.0,2.0108636541033005
Arkansas,US,2020-07-25 04:47:52,34.9697,-92.3731,37249,394,29827.0,7028.0,5.0,1234.30812604132,,2361.0,,84000005.0,USA,15291.38406602947,6.338425192622621,2020-07-24,461464.0,1.0577465166850115
California,US,2020-07-25 04:47:52,36.1162,-119.6816,449499,8262,,,6.0,1137.5948146476092,,,,84000006.0,USA,17503.130613531917,,2020-07-24,6915876.0,1.828298356578248
Colorado,US,2020-07-25 04:47:52,39.0598,-105.3111,42980,1790,5122.0,36068.0,8.0,746.3443366738812,,6149.0,,84000008.0,USA,8176.742257328691,14.312648386946604,2020-07-24,470877.0,4.164727780362959
Connecticut,US,2020-07-25 04:47:52,41.5978,-72.7554,48776,4413,8516.0,35847.0,9.0,1368.0806061335315,,10712.0,,84000009.0,USA,20000.4095041998,21.961620469083154,2020-07-24,713072.0,9.04748236837789
Delaware,US,2020-07-25 04:47:52,39.3185,-75.5071,14202,592,7936.0,5674.0,10.0,1458.4642685496692,238457.0,,,84000010.0,USA,2.448817167198623e-06,,2020-07-24,164326.0,4.168426982115195
Diamond Princess,US,2020-07-25 04:47:52,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-24,,0.0
District of Columbia,US,2020-07-25 04:47:52,38.8974,-77.0268,11649,581,9582.0,1486.0,11.0,1650.5868233607132,,,,84000011.0,USA,23416.25705456189,,2020-07-24,165260.0,4.987552579620568
Florida,US,2020-07-25 04:47:52,27.7663,-81.6868,402312,5653,,,12.0,1873.158238225936,,23575.0,,84000012.0,USA,24974.423515848062,5.859879894211458,2020-07-24,5363941.0,1.4051283580902385
Georgia,US,2020-07-25 04:47:52,33.0406,-83.6431,161420,3443,,,13.0,1520.3312517547809,,16752.0,,84000013.0,USA,13020.52296494168,10.377896171478133,2020-07-24,1382444.0,2.1329451121298475
Grand Princess,US,2020-07-25 04:47:52,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-07-24,,2.912621359223301
Guam,US,2020-07-25 04:47:52,13.4443,144.7937,337,5,244.0,88.0,66.0,205.201273831053,,,,316.0,GUM,11854.788131207037,,2020-07-24,19469.0,1.483679525222552
