Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-22 04:33:33,32.3182,-86.9023,30122,839,15974.0,13309.0,1.0,614.3353758832269,,2460.0,,84000001.0,USA,10145.283116994362,8.194264015189367,2020-06-21,497442.0,2.785339618883208
Alaska,US,2020-06-22 04:33:33,61.3707,-152.4044,766,12,475.0,279.0,2.0,104.70989481166572,,,,84000002.0,USA,12036.306720707544,,2020-06-21,88051.0,1.566579634464752
American Samoa,US,2020-06-22 04:33:33,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-21,174.0,
Arizona,US,2020-06-22 04:33:33,33.7298,-111.4312,52591,1349,7387.0,43855.0,4.0,722.5311823498564,,4161.0,,84000004.0,USA,5766.730592767929,7.912000152117282,2020-06-21,585644.0,2.565077674887338
Arkansas,US,2020-06-22 04:33:33,34.9697,-92.3731,15561,225,10082.0,5254.0,5.0,515.6398493739156,,1152.0,,84000005.0,USA,8026.830105599966,7.403123192596877,2020-06-21,242234.0,1.4459224985540775
California,US,2020-06-22 04:33:33,36.1162,-119.6816,181625,5447,,,6.0,459.6324534815467,,,,84000006.0,USA,8400.580245763444,,2020-06-21,3319256.0,2.9948626459851
Colorado,US,2020-06-22 04:33:33,39.0598,-105.3111,30539,1647,4309.0,24583.0,8.0,530.3073452229795,,5323.0,,84000008.0,USA,4834.151105381458,17.438736731752066,2020-06-21,278386.0,5.393103899931235
Connecticut,US,2020-06-22 04:33:33,41.5978,-72.7554,45755,4260,7842.0,33653.0,9.0,1283.3468946539226,,10099.0,,84000009.0,USA,11091.056624613951,22.071904709867773,2020-06-21,395428.0,9.310457873456452
Delaware,US,2020-06-22 04:33:33,39.3185,-75.5071,10775,555,6459.0,3761.0,10.0,1106.5309458965417,124366.0,,,84000010.0,USA,1.277167773711084e-06,,2020-06-21,94974.0,5.150812064965197
Diamond Princess,US,2020-06-22 04:33:33,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-21,,0.0
District of Columbia,US,2020-06-22 04:33:33,38.8974,-77.0268,10020,533,1172.0,8315.0,11.0,1419.768217879161,,,,84000011.0,USA,11267.745331555552,,2020-06-21,79522.0,5.319361277445109
Florida,US,2020-06-22 04:33:33,27.7663,-81.6868,97291,3161,,,12.0,452.98534012219255,,13325.0,,84000012.0,USA,11021.119217541402,13.696025326083603,2020-06-21,2367087.0,3.249015839080696
Georgia,US,2020-06-22 04:33:33,33.0406,-83.6431,64701,2643,,,13.0,609.3851587150667,,9837.0,,84000013.0,USA,6540.042720347489,15.20378355821394,2020-06-21,694384.0,4.084944591273705
Grand Princess,US,2020-06-22 04:33:33,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-21,,2.912621359223301
Guam,US,2020-06-22 04:33:33,13.4443,144.7937,222,5,173.0,44.0,66.0,135.17710026852748,,,,316.0,GUM,6095.147629225045,,2020-06-21,10010.0,2.2522522522522523
Hawaii,US,2020-06-22 04:33:33,21.0943,-157.4983,814,17,644.0,153.0,15.0,57.49107263933463,,96.0,,84000015.0,USA,4792.806129367626,11.793611793611792,2020-06-21,67860.0,2.0884520884520885
Idaho,US,2020-06-22 04:33:33,44.2405,-114.4788,4006,89,3305.0,612.0,16.0,224.1664405044025,,283.0,,84000016.0,USA,4083.119528388727,7.064403394907639,2020-06-21,72968.0,2.2216674987518723
