Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-02 02:33:16,32.3182,-86.9023,18525,646,9355.0,8524.0,1.0,377.8156443209873,,1856.0,,84000001.0,USA,6653.858665336918,9.962426194310252,2020-06-01,326251.0,3.4871794871794872
Alaska,US,2020-06-02 02:33:16,61.3707,-152.4044,469,10,368.0,91.0,2.0,64.1108885987875,,,,84000002.0,USA,7407.609921467579,,2020-06-01,54190.0,2.1321961620469083
American Samoa,US,2020-06-02 02:33:16,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-01,174.0,
Arizona,US,2020-06-02 02:33:16,33.7298,-111.4312,20129,918,4869.0,14342.0,4.0,276.5459901793132,,3018.0,,84000004.0,USA,3133.381885846091,14.993293258482788,2020-06-01,314143.0,4.5605842317055
Arkansas,US,2020-06-02 02:33:16,34.9697,-92.3731,7443,133,5401.0,1909.0,5.0,246.6362957965461,,711.0,,84000005.0,USA,4414.998455830796,9.552599758162032,2020-06-01,133236.0,1.786913878812307
California,US,2020-06-02 02:33:16,36.1162,-119.6816,116304,4161,,,6.0,294.33929850011225,,,,84000006.0,USA,5093.570665462179,,2020-06-01,2012583.0,3.5752364574376614
Colorado,US,2020-06-02 02:33:16,39.0598,-105.3111,26577,1458,3919.0,21200.0,8.0,461.5075252624882,,4347.0,,84000008.0,USA,3236.404655466061,16.364868426006097,2020-06-01,186376.0,5.485946495089739
Connecticut,US,2020-06-02 02:33:16,41.5978,-72.7554,42740,3970,7511.0,31259.0,9.0,1198.781472571493,,13793.0,,84000009.0,USA,7331.527588101603,32.27187646233037,2020-06-01,261390.0,9.28872250818905
Delaware,US,2020-06-02 02:33:16,39.3185,-75.5071,9605,500,5353.0,3752.0,10.0,986.3786297295854,79359.0,,,84000010.0,USA,8.149715947601267e-07,,2020-06-01,62447.0,5.205622071837585
Diamond Princess,US,2020-06-02 02:33:16,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-01,,0.0
District of Columbia,US,2020-06-02 02:33:16,38.8974,-77.0268,8857,468,1126.0,7263.0,11.0,1254.978753069434,,,,84000011.0,USA,6696.856814533212,,2020-06-01,47263.0,5.28395619284182
Florida,US,2020-06-02 02:33:16,27.7663,-81.6868,56830,2460,,,12.0,264.5995711745609,,10494.0,,84000012.0,USA,7084.121572025954,18.46559915537568,2020-06-01,1521509.0,4.328699630476861
Georgia,US,2020-06-02 02:33:16,33.0406,-83.6431,47902,2094,,,13.0,451.1640913242319,,8127.0,,84000013.0,USA,4442.0477549024845,16.96588868940754,2020-06-01,471631.0,4.371424992693416
Grand Princess,US,2020-06-02 02:33:16,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-01,,2.912621359223301
Guam,US,2020-06-02 02:33:16,13.4443,144.7937,175,5,145.0,25.0,66.0,106.55852498645184,,,,316.0,GUM,3845.8493932253136,,2020-06-01,6316.0,2.857142857142857
Hawaii,US,2020-06-02 02:33:16,21.0943,-157.4983,652,17,608.0,27.0,15.0,46.049360394159926,,83.0,,84000015.0,USA,3424.5327261221355,12.730061349693251,2020-06-01,48487.0,2.607361963190184
