Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-29 04:35:24,32.3182,-86.9023,82698,1491,32510.0,48697.0,1.0,1686.6179840246696,,9893.0,,84000001.0,USA,20324.34019927863,12.011023966199646,2020-07-28,996540.0,1.802945657694261
Alaska,US,2020-07-29 04:35:24,61.3707,-152.4044,2774,22,836.0,1916.0,2.0,379.1974519680949,,,,84000002.0,USA,29236.06886794387,,2020-07-28,213875.0,0.7930785868781542
American Samoa,US,2020-07-29 04:35:24,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1863.7335777574087,,2020-07-28,1037.0,
Arizona,US,2020-07-29 04:35:24,33.7298,-111.4312,165934,3408,21626.0,140900.0,4.0,2279.714955259285,,9394.0,,84000004.0,USA,12240.220357516304,5.661287017729941,2020-07-28,1279558.0,2.0538286306603832
Arkansas,US,2020-07-29 04:35:24,34.9697,-92.3731,40181,428,33188.0,6565.0,5.0,1331.464866505578,,2686.0,,84000005.0,USA,16233.857467217884,6.684751499464921,2020-07-28,489906.0,1.0651800602274708
California,US,2020-07-29 04:35:24,36.1162,-119.6816,480340,8527,,,6.0,1215.5555003827549,,,,84000006.0,USA,18773.598235664947,,2020-07-28,7417866.0,1.764131478076924
Colorado,US,2020-07-29 04:35:24,39.0598,-105.3111,45314,1807,5212.0,38295.0,8.0,786.8740640307178,,6271.0,,84000008.0,USA,8689.927789709409,13.844489579653832,2020-07-28,500430.0,3.987730061349693
Connecticut,US,2020-07-29 04:35:24,41.5978,-72.7554,49077,4423,8516.0,36138.0,9.0,1376.5231242253428,,10712.0,,84000009.0,USA,21111.56829730678,21.82692503616765,2020-07-28,752688.0,9.012368319171914
Delaware,US,2020-07-29 04:35:24,39.3185,-75.5071,14476,596,8076.0,5804.0,10.0,1486.6025032759478,248797.0,,,84000010.0,USA,2.555003060289762e-06,,2020-07-28,174623.0,4.1171594363083726
Diamond Princess,US,2020-07-29 04:35:24,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-28,,0.0
District of Columbia,US,2020-07-29 04:35:24,38.8974,-77.0268,11945,583,9664.0,1698.0,11.0,1692.528080096465,,,,84000011.0,USA,25224.548670986427,,2020-07-28,178022.0,4.880703223105902
Florida,US,2020-07-29 04:35:24,27.7663,-81.6868,441977,6117,,,12.0,2057.837843903201,,25280.0,,84000012.0,USA,26489.73213518724,5.719754647866291,2020-07-28,5689395.0,1.3840086701344188
