Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-05 02:33:15,32.3182,-86.9023,19262,653,11395.0,7214.0,1.0,392.84669046752265,,1929.0,,84000001.0,USA,7195.1394858648,10.114303691275168,2020-06-04,352791.0,3.3900944865538367
Alaska,US,2020-06-05 02:33:15,61.3707,-152.4044,525,10,376.0,139.0,2.0,71.76592007326958,,,,84000002.0,USA,8215.079045034823,,2020-06-04,60097.0,1.9047619047619049
American Samoa,US,2020-06-05 02:33:15,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,312.7190381193724,,2020-06-04,174.0,
Arizona,US,2020-06-05 02:33:15,33.7298,-111.4312,22886,999,5172.0,16715.0,4.0,314.42354469888033,,3195.0,,84000004.0,USA,3431.30526987105,13.960499868915496,2020-06-04,347401.0,4.365114043520056
Arkansas,US,2020-06-05 02:33:15,34.9697,-92.3731,8425,151,5717.0,2557.0,5.0,279.1765137828699,,757.0,,84000005.0,USA,4721.313909054398,8.985163204747774,2020-06-04,142480.0,1.7922848664688429
California,US,2020-06-05 02:33:15,36.1162,-119.6816,123975,4401,,,6.0,313.7510131991308,,,,84000006.0,USA,5524.039991371784,,2020-06-04,2182671.0,3.546019198193111
Colorado,US,2020-06-05 02:33:15,39.0598,-105.3111,27360,1512,4014.0,21834.0,8.0,475.1042589901673,,4443.0,,84000008.0,USA,3424.3625684525214,16.247348789585313,2020-06-04,197200.0,5.526315789473684
Connecticut,US,2020-06-05 02:33:15,41.5978,-72.7554,43239,4007,7284.0,31948.0,9.0,1212.7775407702102,,9669.0,,84000009.0,USA,7896.2787568013455,22.36175674738084,2020-06-04,281525.0,9.267096833876824
Delaware,US,2020-06-05 02:33:15,39.3185,-75.5071,9746,517,5562.0,3667.0,10.0,1000.8585242420136,84044.0,,,84000010.0,USA,8.630838683705702e-07,,2020-06-04,65909.0,5.304740406320541
Diamond Princess,US,2020-06-05 02:33:15,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-04,,0.0
District of Columbia,US,2020-06-05 02:33:15,38.8974,-77.0268,9120,475,1138.0,7507.0,11.0,1292.244126452889,,,,84000011.0,USA,7239.967750574213,,2020-06-04,51096.0,5.208333333333333
Florida,US,2020-06-05 02:33:15,27.7663,-81.6868,60183,2607,,,12.0,280.2110855533802,,10923.0,,84000012.0,USA,7627.325914271136,18.14964358705947,2020-06-04,1638177.0,4.331788046458303
Georgia,US,2020-06-05 02:33:15,33.0406,-83.6431,49859,2149,,,13.0,469.59605923207545,,8557.0,,84000013.0,USA,4674.6842430597335,17.162397962253554,2020-06-04,496331.0,4.310154636073728
Grand Princess,US,2020-06-05 02:33:15,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-04,,2.912621359223301
Guam,US,2020-06-05 02:33:15,13.4443,144.7937,179,5,162.0,12.0,66.0,108.9941484147136,,,,316.0,GUM,4252.598505745027,,2020-06-04,6984.0,2.793296089385475
Hawaii,US,2020-06-05 02:33:15,21.0943,-157.4983,655,17,612.0,26.0,15.0,46.26124395425576,,83.0,,84000015.0,USA,3576.453238710844,12.67175572519084,2020-06-04,50638.0,2.595419847328244
Idaho,US,2020-06-05 02:33:15,44.2405,-114.4788,2990,83,2311.0,596.0,16.0,167.31344411087454,,253.0,,84000016.0,USA,2786.9719344287982,8.461538461538462,2020-06-04,49805.0,2.7759197324414715
Illinois,US,2020-06-05 02:33:15,40.3495,-88.9861,124759,5736,,,17.0,984.538844101412,,,,84000017.0,USA,7749.604417549775,,2020-06-04,982016.0,4.597664296764162
Indiana,US,2020-06-05 02:33:15,39.8494,-86.2583,36096,2202,23707.0,10187.0,18.0,536.1679410607409,364008.0,5999.0,,84000018.0,USA,5.406954230098575e-07,16.619570035460992,2020-06-04,285234.0,6.100398936170213
Iowa,US,2020-06-05 02:33:15,42.0115,-93.2105,20806,583,12333.0,7890.0,19.0,659.4465415981261,,,,84000019.0,USA,5544.567949364039,,2020-06-04,174935.0,2.802076324137268
Kansas,US,2020-06-05 02:33:15,38.5266,-96.7265,10167,227,592.0,9348.0,20.0,348.9840092760341,,890.0,,84000020.0,USA,3708.937656565685,8.753811350447526,2020-06-04,108053.0,2.232713681518639
Kentucky,US,2020-06-05 02:33:15,37.6681,-84.6701,10705,458,3303.0,6944.0,21.0,239.61019528510704,,2332.0,,84000021.0,USA,5280.713248261455,21.78421298458664,2020-06-04,235925.0,4.27837459131247
Louisiana,US,2020-06-05 02:33:15,31.1695,-91.8678,41562,2883,31728.0,6951.0,22.0,894.0383247784264,,,,84000022.0,USA,8845.003671920073,,2020-06-04,411186.0,6.936624801501371
Maine,US,2020-06-05 02:33:15,44.6939,-69.3819,2446,95,1739.0,612.0,23.0,181.96534475216703,,291.0,,84000023.0,USA,4180.962526744293,11.896974652493869,2020-06-04,56201.0,3.883892068683565
Maryland,US,2020-06-05 02:33:15,39.0639,-76.8021,55858,2668,3985.0,49205.0,24.0,923.9324608646174,,9217.0,,84000024.0,USA,5574.525942491167,16.50076980915894,2020-06-04,337018.0,4.776397293136167
Massachusetts,US,2020-06-05 02:33:15,42.2302,-71.5301,102063,7201,,,25.0,1480.7828157637364,,10238.0,,84000025.0,USA,9066.880348111565,10.031059247719543,2020-06-04,624935.0,7.055446146007858
Michigan,US,2020-06-05 02:33:15,43.3266,-84.5361,58241,5595,38099.0,14547.0,26.0,583.1764688329872,707130.0,,,84000026.0,USA,7.080606040519054e-07,,2020-06-04,608983.0,9.606634501468038
Minnesota,US,2020-06-05 02:33:15,45.6945,-93.9002,26273,1126,21490.0,3657.0,27.0,465.8637301157239,,3253.0,,84000027.0,USA,4887.23377695566,12.38153237163628,2020-06-04,275622.0,4.285768659840901
