Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-05-19 02:32:23,32.3182,-86.9023,12438,489,,,1.0,253.6718479926823,,1416.0,,84000001.0,USA,4671.045453108541,11.716035081912958,2020-05-18,229030.0,3.931500241196334
Alaska,US,2020-05-19 02:32:23,61.3707,-152.4044,389,10,345.0,34.0,2.0,53.17512934952737,,,,84000002.0,USA,4867.91653281753,,2020-05-18,35611.0,2.570694087403599
American Samoa,US,2020-05-19 02:32:23,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,188.7097643823799,,2020-05-18,105.0,
Arizona,US,2020-05-19 02:32:23,33.7298,-111.4312,14208,687,3570.0,9951.0,4.0,195.19923634893348,,1717.0,,84000004.0,USA,2149.7332565615616,12.08474099099099,2020-05-18,211546.0,4.835304054054054
Arkansas,US,2020-05-19 02:32:23,34.9697,-92.3731,4813,100,3645.0,1068.0,5.0,159.48683214681935,,530.0,,84000005.0,USA,2824.53731256238,11.011842925410347,2020-05-18,85239.0,2.077706212341575
California,US,2020-05-19 02:32:23,36.1162,-119.6816,82496,3262,,,6.0,208.78349466695408,,,,84000006.0,USA,3271.5749756727178,,2020-05-18,1292672.0,3.9541790411540094
Colorado,US,2020-05-19 02:32:23,39.0598,-105.3111,22202,1224,3346.0,17632.0,8.0,385.5359926206028,,3872.0,,84000008.0,USA,2231.3056198443546,17.43987028195658,2020-05-18,128495.0,5.51301684532925
Connecticut,US,2020-05-19 02:32:23,41.5978,-72.7554,38116,3450,6264.0,28402.0,9.0,1069.0864438122371,,10946.0,,84000009.0,USA,4983.581966893549,28.717598908594816,2020-05-18,177679.0,9.051317032217442
Delaware,US,2020-05-19 02:32:23,39.3185,-75.5071,7869,405,3545.0,3919.0,10.0,808.1013469382725,59472.0,,,84000010.0,USA,6.107434655624977e-07,,2020-05-18,42458.0,5.146778497903164
Diamond Princess,US,2020-05-19 02:32:23,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-05-18,,0.0
District of Columbia,US,2020-05-19 02:32:23,38.8974,-77.0268,7270,392,1028.0,5850.0,11.0,1030.1112718544412,,,,84000011.0,USA,5359.554175776374,,2020-05-18,37825.0,5.392022008253095
Florida,US,2020-05-19 02:32:23,27.7663,-81.6868,46442,1997,,,12.0,216.23320929947133,,8553.0,,84000012.0,USA,5020.170421120251,18.41651952973601,2020-05-18,1078219.0,4.299987080659748
Georgia,US,2020-05-19 02:32:23,33.0406,-83.6431,38283,1649,,,13.0,360.5677196811317,,6916.0,,84000013.0,USA,3431.0491349925496,18.0654598646919,2020-05-18,364289.0,4.3073949272523055
Grand Princess,US,2020-05-19 02:32:23,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-05-18,,2.912621359223301
Guam,US,2020-05-19 02:32:23,13.4443,144.7937,154,5,126.0,23.0,66.0,93.77150198807762,,,,316.0,GUM,2875.862362920069,,2020-05-18,4723.0,3.2467532467532467
Hawaii,US,2020-05-19 02:32:23,21.0943,-157.4983,640,17,573.0,50.0,15.0,45.201826153776615,,82.0,,84000015.0,USA,2969.548094743028,12.8125,2020-05-18,42045.0,2.65625
Idaho,US,2020-05-19 02:32:23,44.2405,-114.4788,2455,74,1612.0,769.0,16.0,137.3760887264873,,213.0,,84000016.0,USA,2052.0798068341105,8.676171079429736,2020-05-18,36672.0,3.0142566191446027
Illinois,US,2020-05-19 02:32:23,40.3495,-88.9861,96485,4234,,,17.0,761.4138488856495,,,,84000017.0,USA,4760.491803032887,,2020-05-18,603241.0,4.388246877753018
