Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-20 05:34:58,32.3182,-86.9023,67733,1287,29736.0,36710.0,1.0,1381.4082071143553,,7782.0,,84000001.0,USA,17539.252547068896,11.61301875811434,2020-07-19,859982.0,1.9001077761209453
Alaska,US,2020-07-20 05:34:58,61.3707,-152.4044,1914,18,712.0,1184.0,2.0,261.6380400385485,,,,84000002.0,USA,23649.946346431185,,2020-07-19,173010.0,0.9404388714733544
American Samoa,US,2020-07-20 05:34:58,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1863.7335777574087,,2020-07-19,1037.0,
Arizona,US,2020-07-20 05:34:58,33.7298,-111.4312,143624,2761,18149.0,122714.0,4.0,1973.204893115092,,6632.0,,84000004.0,USA,10798.31789036447,4.617612655266529,2020-07-19,1145119.0,1.922380660613825
Arkansas,US,2020-07-20 05:34:58,34.9697,-92.3731,33228,357,25292.0,7579.0,5.0,1101.065543024,,2177.0,,84000005.0,USA,13889.93453517856,6.551703382689298,2020-07-19,419171.0,1.0743950884795954
California,US,2020-07-20 05:34:58,36.1162,-119.6816,397403,7672,,,6.0,1005.6963891907576,,,,84000006.0,USA,15911.157415769798,,2020-07-19,6286852.0,1.9191037136393263
Colorado,US,2020-07-20 05:34:58,39.0598,-105.3111,40142,1752,4948.0,33442.0,8.0,697.0626887566993,,6019.0,,84000008.0,USA,7570.029256420159,15.000996909580302,2020-07-19,435938.0,4.364506003686912
Connecticut,US,2020-07-20 05:34:58,41.5978,-72.7554,47893,4396,8466.0,35031.0,9.0,1343.3140165153604,,10654.0,,84000009.0,USA,17669.51720857255,22.24542208673501,2020-07-19,629969.0,9.178794395840727
Delaware,US,2020-07-20 05:34:58,39.3185,-75.5071,13519,586,7362.0,5571.0,10.0,1388.324070308617,224936.0,,,84000010.0,USA,2.309964221310297e-06,,2020-07-19,152995.0,4.334640136104741
Diamond Princess,US,2020-07-20 05:34:58,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-19,,0.0
District of Columbia,US,2020-07-20 05:34:58,38.8974,-77.0268,11261,578,1886.0,8797.0,11.0,1595.6097706124983,,,,84000011.0,USA,20937.33041067008,,2020-07-19,147765.0,5.132759080010656
Florida,US,2020-07-20 05:34:58,27.7663,-81.6868,350047,4982,,,12.0,1629.8132340478887,,21309.0,,84000012.0,USA,22384.73261871118,6.087468254262999,2020-07-19,4807734.0,1.4232374509708696
Georgia,US,2020-07-20 05:34:58,33.0406,-83.6431,143129,3174,,,13.0,1348.0578102614918,,15010.0,,84000013.0,USA,11823.198529436004,10.487043156872472,2020-07-19,1255319.0,2.217579945363972
Grand Princess,US,2020-07-20 05:34:58,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-07-19,,2.912621359223301
Guam,US,2020-07-20 05:34:58,13.4443,144.7937,314,5,222.0,87.0,66.0,191.1964391185479,,,,316.0,GUM,11114.35860901546,,2020-07-19,18253.0,1.5923566878980893
Hawaii,US,2020-07-20 05:34:58,21.0943,-157.4983,1381,24,1019.0,338.0,15.0,97.5370654974461,,140.0,,84000015.0,USA,7390.1454368756495,10.137581462708182,2020-07-19,104635.0,1.7378711078928313
Idaho,US,2020-07-20 05:34:58,44.2405,-114.4788,14874,119,3989.0,10766.0,16.0,832.3144373595812,,583.0,,84000016.0,USA,8180.228475181373,3.919591233024069,2020-07-19,146186.0,0.800053785128412
Illinois,US,2020-07-20 05:34:58,40.3495,-88.9861,162750,7488,,,17.0,1284.345793710312,,,,84000017.0,USA,17721.888590440158,,2020-07-19,2245686.0,4.600921658986176
Indiana,US,2020-07-20 05:34:58,39.8494,-86.2583,56571,2757,40965.0,12849.0,18.0,840.3024322292546,828193.0,7895.0,,84000018.0,USA,1.2301931948440772e-06,13.955913807427834,2020-07-19,626880.0,4.873521769104311
Iowa,US,2020-07-20 05:34:58,42.0115,-93.2105,38813,793,27894.0,10126.0,19.0,1230.1787282057132,,,,84000019.0,USA,13168.994665728496,,2020-07-19,415491.0,2.0431298791641974
Kansas,US,2020-07-20 05:34:58,38.5266,-96.7265,21996,309,983.0,20704.0,20.0,755.0164520542585,,1453.0,,84000020.0,USA,8559.084259369227,6.60574649936352,2020-07-19,249353.0,1.404800872885979
Kentucky,US,2020-07-20 05:34:58,37.6681,-84.6701,23161,670,6824.0,15667.0,21.0,518.4130530591652,,2875.0,,84000021.0,USA,10972.177238575876,12.413108242303872,2020-07-19,490201.0,2.8927939208151634
Louisiana,US,2020-07-20 05:34:58,31.1695,-91.8678,91706,3543,53288.0,34875.0,22.0,1972.683668065309,,,,84000022.0,USA,23001.75056154349,,2020-07-19,1069304.0,3.8634331450504873
Maine,US,2020-07-20 05:34:58,44.6939,-69.3819,3687,117,3148.0,422.0,23.0,274.2870916194767,,375.0,,84000023.0,USA,10224.3544917022,10.17087062652563,2020-07-19,137437.0,3.1733116354759967
Maryland,US,2020-07-20 05:34:58,39.0639,-76.8021,78131,3377,5344.0,69410.0,24.0,1292.344285506345,,11841.0,,84000024.0,USA,12236.588770824786,15.155316071725691,2020-07-19,739785.0,4.322228052885539
Massachusetts,US,2020-07-20 05:34:58,42.2302,-71.5301,113534,8431,95390.0,9713.0,25.0,1647.2100193500098,,11717.0,,84000025.0,USA,15096.62019733615,10.32025648704353,2020-07-19,1040535.0,7.425969313157292
