Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-29 04:33:57,32.3182,-86.9023,36503,919,18866.0,16718.0,1.0,744.4752747448853,,2703.0,,84000001.0,USA,11688.790041575015,7.626759967269547,2020-06-28,573123.0,2.5176012930444074
Alaska,US,2020-06-29 04:33:57,61.3707,-152.4044,898,14,521.0,363.0,2.0,122.75389757294494,,,,84000002.0,USA,14804.284083685898,,2020-06-28,108300.0,1.55902004454343
American Samoa,US,2020-06-29 04:33:57,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1250.8761524774895,,2020-06-28,696.0,
Arizona,US,2020-06-29 04:33:57,33.7298,-111.4312,73920,1594,8926.0,63400.0,4.0,1015.5635945181,,4617.0,,84000004.0,USA,7005.300522056291,6.245941558441558,2020-06-28,723634.0,2.156385281385281
Arkansas,US,2020-06-29 04:33:57,34.9697,-92.3731,19818,264,13270.0,6284.0,5.0,656.7026884449753,,1373.0,,84000005.0,USA,9650.129696958453,6.928045211423958,2020-06-28,291222.0,1.3321223130487436
California,US,2020-06-29 04:33:57,36.1162,-119.6816,223543,5856,,,6.0,565.7084897501211,,,,84000006.0,USA,10011.970219949406,,2020-06-28,3955952.0,2.610905316655035
Colorado,US,2020-06-29 04:33:57,39.0598,-105.3111,32307,1676,4442.0,26189.0,8.0,561.0085268711745,,5399.0,,84000008.0,USA,5447.566966084224,16.720346856611954,2020-06-28,313711.0,5.187730213266475
Connecticut,US,2020-06-29 04:33:57,41.5978,-72.7554,46303,4316,8053.0,33934.0,9.0,1298.7173262629349,,10268.0,,84000009.0,USA,12302.600043138182,22.17566896313414,2020-06-28,438623.0,9.321210288750189
Delaware,US,2020-06-29 04:33:57,39.3185,-75.5071,11226,564,6665.0,3997.0,10.0,1152.846069478847,148414.0,,,84000010.0,USA,1.5241269958634742e-06,,2020-06-28,106346.0,5.024051309460182
Diamond Princess,US,2020-06-29 04:33:57,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-06-28,,0.0
District of Columbia,US,2020-06-29 04:33:57,38.8974,-77.0268,10248,550,1199.0,8499.0,11.0,1452.0743210404833,,,,84000011.0,USA,13196.192980790622,,2020-06-28,93132.0,5.366900858704137
Florida,US,2020-06-29 04:33:57,27.7663,-81.6868,141075,3419,,,12.0,656.8429439284037,,14540.0,,84000012.0,USA,13412.497787825598,10.306574517100833,2020-06-28,2880701.0,2.4235335814283183
Georgia,US,2020-06-29 04:33:57,33.0406,-83.6431,77210,2778,,,13.0,727.2009413206953,,10711.0,,84000013.0,USA,7600.130464802994,13.872555368475586,2020-06-28,806938.0,3.597979536329491
Grand Princess,US,2020-06-29 04:33:57,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-06-28,,2.912621359223301
Guam,US,2020-06-29 04:33:57,13.4443,144.7937,247,5,179.0,63.0,66.0,150.39974669516346,,,,316.0,GUM,7537.036698756005,,2020-06-28,12378.0,2.0242914979757085
Hawaii,US,2020-06-29 04:33:57,21.0943,-157.4983,899,18,714.0,167.0,15.0,63.49444017538308,,110.0,,84000015.0,USA,5330.849116304299,12.235817575083423,2020-06-28,75478.0,2.0022246941045605
Idaho,US,2020-06-29 04:33:57,44.2405,-114.4788,5322,91,3898.0,1333.0,16.0,297.80673898263353,,312.0,,84000016.0,USA,4831.665328345639,5.862457722660654,2020-06-28,86345.0,1.7098835024426908
Illinois,US,2020-06-29 04:33:57,40.3495,-88.9861,141723,6888,,,17.0,1118.410684620624,,,,84000017.0,USA,12200.54323684023,,2020-06-28,1546031.0,4.860185008784742
